step,total_energy
0,-125147.20193746
1,-117640.77877259
2,-82713.38345203
3,-10349.14744238
4,146436.41544023
5,296209.81842036
6,408092.58891744
7,531373.12395523
8,784906.83054300
9,896520.75349994
10,926123.25965545
11,964812.15225552
12,1011405.14823460
13,1041361.66870858
14,1135155.05315739
15,1288073.45542760
16,1447104.12472713
17,1460835.52355629
18,1460423.14149405
19,1466938.04518867
20,1521745.52687550
21,1777612.42242462
22,1795821.53518219
23,1805314.61014084
24,1807509.60216617
25,1810227.92525597
26,1810380.89776198
27,13304640.50844305
28,47952443.51324842
29,47971393.29091897
30,47974938.40547862
31,47984096.04302166
32,47991139.26899222
33,48019531.23350824
34,48044870.00324251
35,48105414.54113007
36,48217063.54145934
37,48221254.85321555
38,48221441.58335723
39,48222542.52057521
40,48223900.68955468
41,48224166.95932708
42,48226678.87578811
43,48234416.03435870
44,48255589.53531798
45,48322849.31295925
46,48326570.34000260
47,48329760.92643106
48,48338561.86061572
49,48346696.80457240
50,48903062.84508175
51,50481845.84461776
52,50503531.94594144
53,50503989.83149168
54,50505009.06070670
55,50513945.80375717
56,50542005.83099307
57,50549608.26846620
58,50566251.35055726
59,50585733.60543829
60,50608086.02332838
61,50610235.20404154
62,50611662.33476073
63,50615034.11705177
64,50615622.82787731
65,50617464.94887741
66,50621182.12908090
67,50626113.65336394
68,50640126.11460955
69,50640372.21771363
70,50642085.62826100
71,50645499.58992574
72,50655928.58290190
73,50655790.40627121
74,50655821.75386649
75,50693265.67021944
76,50806867.98683251
77,50811537.56904168
78,50812461.28219126
79,50819585.03677627
80,50828363.05158640
81,50828688.23044512
82,50829244.00432581
83,50830961.99758410
84,50835951.39712160
85,50845400.84260711
86,50863393.49694207
87,50917993.12982687
88,51045049.41925840
89,51046229.35427150
90,51064330.20169064
91,51112591.56957252
92,51157530.27367004
93,51157549.12680768
94,51157534.98549888
95,51157665.18907771
96,51158206.43437701
97,51158128.45122118
98,51158157.40785049
99,51159200.89096961
100,51160090.90990991
101,51160949.83693116
102,51161967.08239177
103,51162151.60347056
104,51162416.74094174
105,51162417.30417480
106,51162848.75542149
107,51165534.43630873
108,51171434.46115720
109,51174582.51103839
110,51181275.11906563
111,51187141.48142719
112,51188927.22450750
113,51189325.70762320
114,51189784.19850122
115,51198089.42031475
116,51223272.99921017
117,51268816.73070293
118,51381729.50752833
119,51383023.90133233
120,51388251.68108298
121,51390522.11214527
122,51395717.78606775
123,51395625.94346987
124,51402084.48432613
125,51403613.69038484
126,51413300.50411319
127,51630581.64411546
128,52312428.19715974
129,52312705.09136371
130,52320377.04453108
131,52353490.36961628
132,52353358.75711469
133,52354140.48083529
134,52354132.04291513
135,52353755.70883939
136,52354266.44646569
137,52607706.24039292
138,53474403.05370571
139,53485401.56838518
140,53513893.19341690
141,53514746.10659883
142,53516493.75051321
143,53528655.62284970
144,53533238.09544300
145,53538125.95531593
146,53546941.57642686
147,53570418.93654798
148,53583812.98800692
149,53623870.66794043
150,53622807.40488783
151,53623382.81773656
152,53624947.81774153
153,53624851.14317496
154,53625888.34054660
155,53627909.91895495
156,53628612.32724889
157,53628879.01513544
158,53628938.78013562
159,53629165.42405210
160,53629671.93532830
161,53631520.23551118
162,53636668.15790553
163,53636686.14426348
164,53637221.51366654
165,53638873.74651659
166,53639146.03022079
167,53639914.83275925
168,53646532.62679657
169,53669090.49715770
170,53670294.54577616
171,53670301.38118254
172,53673239.36155897
173,53682580.73086258
174,53683083.63474291
175,53684859.16088245
176,53692293.98207527
177,53712063.26227333
178,53716020.61746192
179,53716321.90039054
180,53716287.01689914
181,53716304.97681107
182,53716341.13932864
183,53716304.28449740
184,53716212.78344482
185,53716734.33360944
186,53711996.99485728
187,53720966.04342158
188,53720442.18944797
189,53720939.90164329
190,53724283.40469280
191,53732071.81159845
192,53734337.55350245
193,53734415.16308116
194,53734675.65318756
195,53735004.27004568
196,53734829.61271176
197,53735907.75993719
198,53736184.19129488
199,53737811.57930014
