step,total_energy,num_particles
0,-45.94894463,100
1,-45.94894329,100
2,-45.94894186,100
3,-45.94894036,100
4,-45.94893878,100
5,-45.94893714,100
6,-45.94893540,100
7,-45.94893357,100
8,-45.94893169,100
9,-45.94892976,100
10,-45.94892773,100
11,-45.94892561,100
12,-45.94892337,100
13,-45.94892100,100
14,-45.94891850,100
15,-45.94891586,100
16,-45.94891307,100
17,-45.94891010,100
18,-45.94890697,100
19,-45.94890365,100
20,-45.94890010,100
21,-45.94889630,100
22,-45.94889220,100
23,-45.94888777,100
24,-45.94888296,100
25,-45.94887771,100
26,-45.94887189,100
27,-45.94886541,100
28,-45.94885821,100
29,-45.94885015,100
30,-45.94884106,100
31,-45.94883071,100
32,-45.94881881,100
33,-45.94880497,100
34,-45.94878868,100
35,-45.94876925,100
36,-45.94874574,100
37,-45.94871682,100
38,-45.94868060,100
39,-45.94863431,100
40,-45.94857374,100
41,-45.94849237,100
42,-45.94837959,100
43,-45.94821741,100
44,-45.94797348,100
45,-45.94758546,100
46,-45.94692204,100
47,-45.94567207,100
48,-45.94296713,100
49,-45.93571119,100
50,-45.90719204,100
51,-45.63168213,100
52,4.32187086,100
53,229.57580265,100
54,229.53532947,100
55,229.53096865,100
56,229.52989831,100
57,229.52952221,100
58,229.52936214,100
59,229.52928775,100
60,229.52925457,100
61,229.52924002,100
62,229.52922727,100
63,229.52922713,100
64,229.52924407,100
65,229.52926377,100
66,229.52928296,100
67,229.52929260,100
68,229.52929146,100
69,229.52928784,100
70,229.52928757,100
71,229.52929818,100
72,229.52932357,100
73,229.52934956,100
74,229.52936943,100
75,229.52938610,100
76,229.52939590,100
77,229.52940050,100
78,229.52940156,100
79,229.52940286,100
80,229.52941687,100
81,229.52944282,100
82,229.52947069,100
83,229.52949267,100
84,229.52950773,100
85,229.52952265,100
86,229.52953660,100
87,229.52954410,100
88,229.52955108,100
89,229.52956611,100
90,229.52959109,100
91,229.52962610,100
92,229.52968134,100
93,229.52977975,100
94,229.52994278,100
95,229.53021819,100
96,229.53074758,100
97,229.53187838,100
98,229.53485383,100
99,229.54671299,100
100,229.67037120,100
101,228.15522880,100
102,231.43495365,100
103,231.31540775,100
104,231.30501676,100
105,231.30258377,100
106,231.30172325,100
107,231.30135776,100
108,231.30118226,100
109,231.30109250,100
110,231.30105068,100
111,231.30103227,100
112,231.30102756,100
113,231.30103153,100
114,231.30103081,100
115,231.30102526,100
116,231.30102267,100
117,231.30102358,100
118,231.30102427,100
119,231.30102130,100
120,231.30100342,100
121,231.30097254,100
122,231.30094794,100
123,231.30092598,100
124,231.30090096,100
125,231.30087465,100
126,231.30085244,100
127,231.30083362,100
128,231.30081465,100
129,231.30079473,100
130,231.30077469,100
131,231.30074214,100
132,231.30069800,100
133,231.30065372,100
134,231.30059681,100
135,231.30053026,100
136,231.30046784,100
137,231.30043977,100
138,231.30044397,100
139,231.30044412,100
140,231.30042839,100
141,231.30040379,100
142,231.30039635,100
143,231.30040205,100
144,231.30039471,100
145,231.30039070,100
146,231.30038827,100
147,231.30037170,100
148,231.30035293,100
149,231.30033726,100
150,231.30032250,100
151,231.30029552,100
152,231.30026003,100
153,231.30022304,100
154,231.30018348,100
155,231.30014675,100
156,231.30011300,100
157,231.30007217,100
158,231.30002681,100
159,231.29999451,100
160,231.29997331,100
161,231.29993861,100
162,231.29989178,100
163,231.29984711,100
164,231.29981186,100
165,231.29979587,100
166,231.29979285,100
167,231.29979082,100
168,231.29978808,100
169,231.29978756,100
170,231.29979237,100
171,231.29980470,100
172,231.29981987,100
173,231.29983649,100
174,231.29985857,100
175,231.29988555,100
176,231.29991764,100
177,231.29995529,100
178,231.30000430,100
179,231.30007860,100
180,231.30019081,100
181,231.30036063,100
182,231.30062868,100
183,231.30106841,100
184,231.30182220,100
185,231.30319962,100
186,231.30597645,100
187,231.31231530,100
188,231.32846434,100
189,231.34810911,100
190,230.92507011,100
191,231.39395330,100
192,231.37926287,100
193,231.36029480,100
194,231.35303592,100
195,231.34991300,100
196,231.34837589,100
197,231.34753881,100
198,231.34704653,100
199,231.34673837,100
