step,total_energy
0,47634.11735270
1,47634.12255768
2,47634.13951870
3,47634.17589299
4,47634.25286778
5,47634.43644526
6,47635.00223608
7,47637.99964170
8,47729.54460222
9,48070.78090041
10,48050.93302085
11,48095.57169401
12,47959.65891333
13,47902.74238323
14,47928.87060467
15,47681.34834899
16,49091.31495935
17,49076.80394996
18,49075.48619482
19,49075.17517034
20,49075.06571864
21,49075.01819807
22,49074.99533978
23,49074.96270833
24,49074.96828853
25,49074.96187059
26,49074.95838934
27,49074.95636506
28,49074.95521291
29,49074.95469087
30,49074.95460612
31,49074.95491789
32,49074.95563760
33,49074.95672180
34,49074.95821632
35,49074.96017065
36,49074.96255239
37,49074.96547154
38,49074.96902492
39,49074.97325082
40,49074.97838079
41,49074.98475263
42,49074.99289054
43,49075.00348059
44,49075.01740579
45,49075.03620400
46,49075.06241774
47,49075.10070402
48,49075.15995362
49,49075.25811821
50,49075.43617271
51,49075.80478859
52,49076.73955476
53,49080.09611731
54,49106.02206019
55,72738.22970725
56,139018.69818662
57,139015.35829191
58,139024.85007257
59,141418.97196324
60,148365.07950242
61,148359.95758184
62,148359.52028024
63,148359.60105258
64,148359.96185950
65,148360.59408775
66,148362.22318083
67,148367.83067283
68,148405.97034848
69,154368.21439829
70,172339.35644675
71,172310.05453115
72,172307.72341983
73,172308.83952233
74,172313.91092870
75,172338.54303439
76,173182.19588300
77,176251.21657299
78,176122.79639900
79,176496.79205373
80,177457.52179778
81,177248.24097652
82,177238.77853240
83,177254.54284043
84,177797.87841006
85,180004.14908849
86,181041.04824932
87,180999.24895022
88,180994.67301414
89,180993.41164386
90,180992.94230313
91,180992.62597647
92,180992.83859070
93,180992.96690439
94,180993.43223788
95,180994.98940457
96,181003.17084874
97,181210.22979066
98,181813.58788135
99,181722.60775789
100,181716.87051588
101,181715.64905672
102,181715.25246235
103,181715.10383646
104,181715.06069523
105,181715.08101850
106,181715.15968564
107,181715.31911678
108,181715.62436630
109,181716.25049114
110,181717.75576082
111,181722.56560131
112,181750.08204725
113,182964.60945810
114,187388.27203299
115,187282.53309964
116,187275.64371530
117,187279.85989538
118,187334.26327548
119,18239384.88438367
120,72196718.07977420
121,72196718.07794373
122,72196718.82118765
123,72196720.92792316
124,72196729.06191240
125,72196800.51988703
126,74866593.76975887
127,82742905.03649256
128,82742903.97164319
129,82742904.35903601
130,82742905.70802985
131,82742910.66371880
132,82742947.89990777
133,82760895.16010554
134,82811410.47837038
135,82811399.85036714
136,82811398.71998088
137,82811398.46560074
138,82811398.41016257
139,82811398.43102726
140,82811398.51388818
141,82811398.68809558
142,82811399.04776280
143,82811399.89106330
144,82811402.43269153
145,82811415.03148024
146,82811685.12252714
147,82812149.69714239
148,82811957.05411959
149,82811945.95502308
150,82811943.62878034
151,82811942.89016081
152,82811942.62955208
153,82811942.60959736
154,82811942.74131526
155,82811943.06910954
156,82811943.74344675
157,82811945.20470686
158,82811948.97304435
159,82811962.77263945
160,82812083.87165378
161,82842617.76347198
162,82972432.00787254
163,82976620.65236808
164,82976511.24004684
165,82976503.19965251
166,82976501.34688574
167,82976500.72317646
168,82976500.48426677
169,82976500.41062748
170,82976500.45446683
171,82976500.65763193
172,82976501.24769701
173,82976503.57859561
174,82976530.64980255
175,82976117.43914376
176,82978306.64818949
177,82978322.00954847
178,82984588.00400224
179,83002708.80617881
180,83002696.89494751
181,83002697.46411479
182,83002703.93064992
183,83002754.62957269
184,83033214.56768470
185,83118646.17806555
186,83118651.43422666
187,84014564.21367575
188,86658631.66540055
189,86658637.37273142
190,86658690.32383595
191,86756958.68399401
192,87040710.95770957
193,87040963.61380413
194,87040437.87450148
195,87040119.32488394
196,87040106.35076052
197,87040107.98147133
198,87040123.88547237
199,87040274.19179772
