step,total_energy,num_particles
0,-2322.94761710,101
1,-2322.94768666,101
2,-2322.94769513,101
3,-2322.94763237,101
4,-2322.94762869,101
5,-2322.94803997,101
6,-2322.94852111,101
7,-2322.94877315,101
8,-2322.94918284,101
9,-2322.95064925,101
10,-2322.95177314,101
11,-2322.95209271,101
12,-2322.95231596,101
13,-2322.95207678,101
14,-2322.95238437,101
15,-2322.95328815,101
16,-2322.95436350,101
17,-2322.95547807,101
18,-2322.95659550,101
19,-2322.95734159,101
20,-2322.95789803,101
21,-2322.95993945,101
22,-2322.96208576,101
23,-2322.96310850,101
24,-2322.96392155,101
25,-2322.96500233,101
26,-2322.96614622,101
27,-2322.96669702,101
28,-2322.96687260,101
29,-2322.96627472,101
30,-2322.96365573,101
31,-2322.95607480,101
32,-2322.92196756,101
33,-2322.52893515,101
34,-2325.82887851,101
35,-2325.54483122,101
36,-2325.81963384,101
37,-2325.78874795,101
38,-2315.98162649,101
39,-2308.52428990,101
40,-2308.58492466,101
41,-2308.59437342,101
42,-2308.59736488,101
43,-2308.59602246,101
44,-2308.59067786,101
45,-2308.57731828,101
46,-2308.53609573,101
47,-2308.30999681,101
48,-2300.56574085,101
49,-2272.32143614,101
50,-2257.04311523,101
51,-2162.57757685,101
52,-2162.67336369,101
53,-2162.69249451,101
54,-2162.72893543,101
55,-2162.72381020,101
56,-2162.69680116,101
57,-2162.68987719,101
58,-2162.68965025,101
59,-2162.69065195,101
60,-2162.69169253,101
61,-2162.69239948,101
62,-2162.69246418,101
63,-2162.69211336,101
64,-2162.69089544,101
65,-2162.68871284,101
66,-2162.68591509,101
67,-2162.68206877,101
68,-2162.67619244,101
69,-2162.66495342,101
70,-2162.63843446,101
71,-2162.54483447,101
72,-2161.74287758,101
73,-2155.76199501,101
74,-2045.36504245,101
75,-2045.74645579,101
76,-2045.69001217,101
77,-2044.60268273,101
78,-2042.56688412,101
79,-2043.57951266,101
80,-2043.66149271,101
81,-2043.66624642,101
82,-2043.51981419,101
83,-1989.26135415,101
84,-1769.85964378,101
85,-1769.87672821,101
86,-1769.87997990,101
87,-1769.88185648,101
88,-1769.88244429,101
89,-1769.88241751,101
90,-1769.88288155,101
91,-1769.88405987,101
92,-1769.88538420,101
93,-1769.88543787,101
94,-1769.88327996,101
95,-1769.87797985,101
96,-1769.86755337,101
97,-1769.84814826,101
98,-1769.91330361,101
99,-1770.07735445,101
100,-1769.89766312,101
101,-1769.91749804,101
102,-1769.93086728,101
103,-1769.93260176,101
104,-1769.92837568,101
105,-1769.92356942,101
106,-1769.92091157,101
107,-1769.91962792,101
108,-1769.91765371,101
109,-1769.91479169,101
110,-1769.91067825,101
111,-1769.90277692,101
112,-1769.88606398,101
113,-1769.84358587,101
114,-1769.70697048,101
115,-1769.24857809,101
116,-1771.15991636,101
117,-1771.62730847,101
118,-1771.56874461,101
119,-1771.43267203,101
120,-1771.45495805,101
121,-1771.47982087,101
122,-1771.49588486,101
123,-1771.50666387,101
124,-1771.51320016,101
125,-1771.51739901,101
126,-1771.52176826,101
127,-1771.52528621,101
128,-1771.52645761,101
129,-1771.52638097,101
130,-1771.52414499,101
131,-1771.52152070,101
132,-1771.51853113,101
133,-1771.51291579,101
134,-1771.50414111,101
135,-1771.48164673,101
136,-1771.41052900,101
137,-1771.18706690,101
138,-1773.25002587,101
139,-1771.52413142,101
140,-1771.68719857,101
141,-1771.73618157,101
142,-1771.73679182,101
143,-1771.68737696,101
144,-1771.37828707,101
145,-1773.00176192,101
146,-1772.68120205,101
147,-1772.70489052,101
148,-1772.64364926,101
149,-1772.49282606,101
150,-1772.15029577,101
151,-1771.23652261,101
152,-1753.20958788,100
153,-1752.75408347,100
154,-1751.94719611,100
155,-1752.14563105,100
156,-1752.35450850,100
157,-1750.57389789,100
158,-1751.62346321,100
159,-1750.18094757,100
160,-1750.44019213,100
161,-1750.49652089,100
162,-1750.51538113,100
163,-1750.52344761,100
164,-1750.52685148,100
165,-1750.52882811,100
166,-1750.53065799,100
167,-1750.53161041,100
168,-1750.53186129,100
169,-1750.53172982,100
170,-1750.53163846,100
171,-1750.53190110,100
172,-1750.53147938,100
173,-1750.53012648,100
174,-1750.52859400,100
175,-1750.52743657,100
176,-1750.52638807,100
177,-1750.52429218,100
178,-1750.52089367,100
179,-1750.51676792,100
180,-1750.51642461,100
181,-1750.53089718,100
182,-1750.54276738,100
183,-1750.50355889,100
184,-1750.45393728,100
185,-1750.39964921,100
186,-1750.30100020,100
187,-1750.06945606,100
188,-1749.36571100,100
189,-1742.18755279,99
190,-1742.18647720,99
191,-1742.18173224,99
192,-1742.17286904,99
193,-1742.15234652,99
194,-1742.11495618,99
195,-1742.35699331,99
196,-1742.26599350,99
197,-1742.08585915,99
198,-1742.10934520,99
199,-1742.07741095,99
200,-1741.85341044,99
