step,total_energy
0,-2.1085881345e+35
1,-2.1083965015e+35
2,-2.1081975094e+35
3,-2.1079911551e+35
4,-2.1077774353e+35
5,-2.1075563468e+35
6,-2.1073278862e+35
7,-2.1070920499e+35
8,-2.1068488343e+35
9,-2.1065982357e+35
10,-2.1063402503e+35
11,-2.1060748742e+35
12,-2.1058021034e+35
13,-2.1055219337e+35
14,-2.1052343608e+35
15,-2.1049393805e+35
16,-2.1046369884e+35
17,-2.1043271798e+35
18,-2.1040099502e+35
19,-2.1036852948e+35
20,-2.1033532087e+35
21,-2.1030136872e+35
22,-2.1026667252e+35
23,-2.1023123178e+35
24,-2.1019504597e+35
25,-2.1015811457e+35
26,-2.1012043707e+35
27,-2.1008201293e+35
28,-2.1004284160e+35
29,-2.1000292256e+35
30,-2.0996234513e+35
31,-2.0992108633e+35
32,-2.0987904772e+35
33,-2.0983622882e+35
34,-2.0979262913e+35
35,-2.0974824810e+35
36,-2.0970308519e+35
37,-2.0965713979e+35
38,-2.0961041127e+35
39,-2.0956289896e+35
40,-2.0951460212e+35
41,-2.0946551993e+35
42,-2.0941565150e+35
43,-2.0936499583e+35
44,-2.0931355179e+35
45,-2.0926131814e+35
46,-2.0920844734e+35
47,-2.0915496075e+35
48,-2.0910071131e+35
49,-2.0904554042e+35
50,-2.0898942338e+35
51,-2.0893250701e+35
52,-2.0887478954e+35
53,-2.0881626928e+35
54,-2.0875694468e+35
55,-2.0869681441e+35
56,-2.0863587732e+35
57,-2.0857413247e+35
58,-2.0851157905e+35
59,-2.0844821640e+35
60,-2.0838404386e+35
61,-2.0831906078e+35
62,-2.0825326644e+35
63,-2.0818666000e+35
64,-2.0811924047e+35
65,-2.0805100674e+35
66,-2.0798195751e+35
67,-2.0791209135e+35
68,-2.0784140672e+35
69,-2.0776990193e+35
70,-2.0769757517e+35
71,-2.0762442456e+35
72,-2.0755044815e+35
73,-2.0747564389e+35
74,-2.0740000972e+35
75,-2.0732354347e+35
76,-2.0724689600e+35
77,-2.0717009719e+35
78,-2.0709250607e+35
79,-2.0701412132e+35
80,-2.0693494162e+35
81,-2.0685496900e+35
82,-2.0677420233e+35
83,-2.0669263708e+35
84,-2.0661026785e+35
85,-2.0652709306e+35
86,-2.0644311517e+35
87,-2.0635833278e+35
88,-2.0627274451e+35
89,-2.0618634894e+35
90,-2.0609914466e+35
91,-2.0601113024e+35
92,-2.0592230424e+35
93,-2.0583266522e+35
94,-2.0574221170e+35
95,-2.0565094221e+35
96,-2.0555885527e+35
97,-2.0546594936e+35
98,-2.0537148375e+35
99,-2.0527618372e+35
100,-2.0518081178e+35
101,-2.0508461472e+35
102,-2.0498759099e+35
103,-2.0488973900e+35
104,-2.0479105714e+35
105,-2.0469154382e+35
106,-2.0459119739e+35
107,-2.0449001621e+35
108,-2.0438799865e+35
109,-2.0428514302e+35
110,-2.0418144764e+35
111,-2.0407691082e+35
112,-2.0397153086e+35
113,-2.0386530602e+35
114,-2.0375823458e+35
115,-2.0365031479e+35
116,-2.0354154488e+35
117,-2.0343192310e+35
118,-2.0332144765e+35
119,-2.0321011675e+35
120,-2.0309792860e+35
121,-2.0298488138e+35
122,-2.0287097327e+35
123,-2.0275620245e+35
124,-2.0264056707e+35
125,-2.0252406529e+35
126,-2.0240669526e+35
127,-2.0228845510e+35
128,-2.0216934293e+35
129,-2.0204935686e+35
130,-2.0192849497e+35
131,-2.0180675529e+35
132,-2.0168413584e+35
133,-2.0156063458e+35
