step,particle_id,x,y,vx,vy
0,0,0,0,0,0
0,1,1.66434,8.79441,-10.3857,1.96549
0,2,1.04398,6.29809,-12.3471,2.04669
0,3,21.4214,4.46086,-1.37822,6.61833
0,4,17.7562,-22.795,4.64104,3.61515
0,5,8.41065,15.997,-6.5839,3.46158
0,6,-1.88018,-7.36838,11.1114,-2.83528
0,7,-6.54684,-17.5684,6.84351,-2.55022
0,8,-8.98884,-10.8324,6.48628,-5.38237
0,9,8.48898,7.23241,-6.14108,7.20805
0,10,-19.476,13.2697,-3.66781,-5.38327
0,11,12.5669,-6.95193,4.03924,7.30168
0,12,-11.8788,22.4582,-5.5458,-2.93335
0,13,0.323306,-26.0354,6.19681,0.0769518
0,14,1.52659,-23.6842,6.47769,0.417527
0,15,3.02618,4.17314,-11.2755,8.17648
0,16,27.5959,5.16136,-1.09723,5.86648
0,17,20.9898,19.5517,-4.02436,4.32038
0,18,-2.34926,-11.4692,9.05413,-1.85458
0,19,-1.99239,28.8641,-5.86507,-0.404845
0,20,-24.4509,-8.10509,1.96046,-5.91419
0,21,0.344821,28.2185,-5.95229,0.0727351
0,22,-13.1684,22.7802,-5.33724,-3.08524
0,23,-19.0977,16.3766,-4.10407,-4.78599
0,24,-25.9892,5.25299,-1.21668,-6.01952
0,25,3.83596,-4.20768,9.79357,8.92838
0,26,19.0036,16.2241,-4.10757,4.81129
0,27,10.5532,18.0378,-5.97066,3.49319
0,28,22.4361,10.56,-2.70435,5.74577
0,29,-9.99392,0.39223,-0.392135,-9.9915
0,30,13.2064,11.9752,-5.03098,5.54821
0,31,-14.8192,-13.3339,4.73733,-5.26505
0,32,-10.0697,27.5151,-5.48622,-2.0078
0,33,-1.62561,20.4377,-6.96193,-0.55375
0,34,2.57242,-15.6928,7.82551,1.28278
0,35,-3.37934,15.7412,-7.70556,-1.65424
0,36,15.9799,-8.88605,3.59409,6.46328
0,37,-11.6037,-15.7429,5.75605,-4.24264
0,38,-11.986,6.31196,-4.00339,-7.60218
0,39,9.98278,-18.1952,6.08569,3.33891
0,40,6.13061,3.82207,-6.22432,9.98382
0,41,10.2321,-21.6981,5.83963,2.75377
0,42,-1.8059,-12.6582,8.75491,-1.24903
0,43,17.6643,14.5432,-4.20198,5.10374
0,44,10.3112,10.9397,-5.93507,5.59412
0,45,-9.304,5.09162,-4.66148,-8.51799
0,46,-4.05042,-7.98892,9.42412,-4.77807
0,47,-8.86559,1.71109,-1.99434,-10.3332
0,48,-0.711082,11.38,-9.34671,-0.584029
0,49,26.5337,-0.537065,0.124222,6.13717
0,50,12.8976,-8.91164,4.54013,6.5708
0,51,-10.4291,22.6864,-5.75004,-2.64333
0,52,2.5794,-6.60952,11.0596,4.31608
0,53,9.20569,-3.99911,3.97713,9.15509
0,54,-5.4691,4.17233,-7.31307,-9.58597
0,55,-12.9637,-8.82888,4.49464,-6.59962
0,56,7.86759,-9.86517,6.95994,5.55063
0,57,5.19816,16.408,-7.2664,2.30205
0,58,7.78813,-19.3809,6.42028,2.57996
0,59,15.1056,13.7077,-4.70525,5.18507
0,60,-13.4253,-7.24874,3.84635,-7.12378
0,61,9.71021,9.00637,-5.90911,6.37091
0,62,-8.16285,16.3818,-6.6158,-3.29657
0,63,9.306,20.4511,-6.07219,2.76308
0,64,5.40225,-14.3,7.5662,2.85835
0,65,6.15959,-13.0691,7.52556,3.54687
0,66,-15.8142,18.4523,-4.87072,-4.17437
0,67,-9.94613,-10.2286,6.00224,-5.83649
0,68,14.8433,23.4156,-5.07253,3.21549
0,69,-9.88596,5.84834,-4.75074,-8.0306
0,70,16.7482,-22.6831,4.79089,3.53738
0,71,11.6442,-15.4415,5.74131,4.32944
0,72,21.0151,20.664,-4.084,4.15339
0,73,-12.1534,7.6728,-4.45288,-7.0532
0,74,5.86223,-2.74335,5.26847,11.2581
