N,Method,Num_Threads,Time_sec,Relative_Error
256,Direct,1,0.000506,0
256,Direct,2,0.000374,0
256,Direct,4,0.000277,0
256,Direct,8,0.000336,0
256,BH,1,0.000584,0.000102851
256,BH,2,0.000426,0.000102851
256,BH,4,0.000254,0.000102851
256,BH,8,0.00026,0.000102851
256,FMM,1,0.000851,0.956021
256,FMM,2,0.000796,0.956021
256,FMM,4,0.000679,0.956021
256,FMM,8,0.000513,0.956021
512,Direct,1,0.002097,0
512,Direct,2,0.001305,0
512,Direct,4,0.001029,0
512,Direct,8,0.001053,0
512,BH,1,0.002099,0.000346538
512,BH,2,0.001327,0.000346538
512,BH,4,0.000807,0.000346538
512,BH,8,0.000603,0.000346538
512,FMM,1,0.00126,0.954718
512,FMM,2,0.000906,0.954718
512,FMM,4,0.000817,0.954718
512,FMM,8,0.000662,0.954718
1024,Direct,1,0.006693,0
1024,Direct,2,0.003565,0
1024,Direct,4,0.002027,0
1024,Direct,8,0.001899,0
1024,BH,1,0.005398,0.00028842
1024,BH,2,0.002962,0.00028842
1024,BH,4,0.001499,0.00028842
1024,BH,8,0.00148,0.00028842
1024,FMM,1,0.001805,0.931331
1024,FMM,2,0.001145,0.931331
1024,FMM,4,0.000947,0.931331
1024,FMM,8,0.00082,0.931331
2048,Direct,1,0.016837,0
2048,Direct,2,0.009684,0
2048,Direct,4,0.006692,0
2048,Direct,8,0.00484,0
2048,BH,1,0.01058,0.00130506
2048,BH,2,0.006502,0.00130506
2048,BH,4,0.003391,0.00130506
2048,BH,8,0.003028,0.00130506
2048,FMM,1,0.00298,0.958904
2048,FMM,2,0.001953,0.958904
2048,FMM,4,0.001735,0.958904
2048,FMM,8,0.001512,0.958904
4096,Direct,1,0.059814,0
4096,Direct,2,0.036181,0
4096,Direct,4,0.020775,0
4096,Direct,8,0.01908,0
4096,BH,1,0.02222,0.00100527
4096,BH,2,0.013169,0.00100527
4096,BH,4,0.007304,0.00100527
4096,BH,8,0.00596,0.00100527
4096,FMM,1,0.006008,0.974597
4096,FMM,2,0.003679,0.974597
4096,FMM,4,0.003233,0.974597
4096,FMM,8,0.002926,0.974597
8192,Direct,1,0.240684,0
8192,Direct,2,0.137323,0
8192,Direct,4,0.093472,0
8192,Direct,8,0.076139,0
8192,BH,1,0.082069,0.000724896
8192,BH,2,0.045745,0.000724896
8192,BH,4,0.025236,0.000724896
8192,BH,8,0.020472,0.000724896
8192,FMM,1,0.011538,0.978601
8192,FMM,2,0.007224,0.978601
8192,FMM,4,0.006214,0.978601
8192,FMM,8,0.005148,0.978601
16384,Direct,1,0.943562,0
16384,Direct,2,0.516623,0
16384,Direct,4,0.293248,0
16384,Direct,8,0.26419,0
16384,BH,1,0.186348,0.00105234
16384,BH,2,0.09926,0.00105234
16384,BH,4,0.053721,0.00105234
16384,BH,8,0.043525,0.00105234
16384,FMM,1,0.023535,0.989337
16384,FMM,2,0.015716,0.989337
16384,FMM,4,0.012752,0.989337
16384,FMM,8,0.012205,0.989337
32768,Direct,1,3.8518,0
32768,Direct,2,2.05263,0
32768,Direct,4,1.22294,0
32768,Direct,8,1.04279,0
32768,BH,1,0.298001,0.00103786
32768,BH,2,0.158124,0.00103786
32768,BH,4,0.0854,0.00103786
32768,BH,8,0.075894,0.00103786
32768,FMM,1,0.080931,0.990818
32768,FMM,2,0.032612,0.990818
32768,FMM,4,0.024792,0.990818
32768,FMM,8,0.02598,0.990818
