step,total_energy
0,-49.03466249
1,-49.03466326
2,-49.03466403
3,-49.03466482
4,-49.03466561
5,-49.03466641
6,-49.03466721
7,-49.03466802
8,-49.03466883
9,-49.03466965
10,-49.03467047
11,-49.03467130
12,-49.03467213
13,-49.03467303
14,-49.03467399
15,-49.03467496
16,-49.03467592
17,-49.03467690
18,-49.03467787
19,-49.03467885
20,-49.03467983
21,-49.03468081
22,-49.03468180
23,-49.03468279
24,-49.03468379
25,-49.03468478
26,-49.03468586
27,-49.03468701
28,-49.03468823
29,-49.03468950
30,-49.03469078
31,-49.03469206
32,-49.03469334
33,-49.03469462
34,-49.03469591
35,-49.03469720
36,-49.03469827
37,-49.03469912
38,-49.03469998
39,-49.03470085
40,-49.03470173
41,-49.03470261
42,-49.03470351
43,-49.03470442
44,-49.03470533
45,-49.03470578
46,-49.03470576
47,-49.03470573
48,-49.03470570
49,-49.03470565
50,-49.03470560
51,-49.03470553
52,-49.03470546
53,-49.03470538
54,-49.03470529
55,-49.03470519
56,-49.03470508
57,-49.03470497
58,-49.03470484
59,-49.03470471
60,-49.03470457
61,-49.03470443
62,-49.03470429
63,-49.03470415
64,-49.03470400
65,-49.03470384
66,-49.03470367
67,-49.03470350
68,-49.03470331
69,-49.03470312
70,-49.03470292
71,-49.03470271
72,-49.03470249
73,-49.03470226
74,-49.03470203
75,-49.03470178
76,-49.03470153
77,-49.03470128
78,-49.03470101
79,-49.03470077
80,-49.03470055
81,-49.03470032
82,-49.03470009
83,-49.03469987
84,-49.03469966
85,-49.03469945
86,-49.03469924
87,-49.03469902
88,-49.03469879
89,-49.03469855
90,-49.03469830
91,-49.03469805
92,-49.03469779
93,-49.03469752
94,-49.03469725
95,-49.03469699
96,-49.03469674
97,-49.03469648
98,-49.03469622
99,-49.03469595
100,-49.03469566
101,-49.03469538
102,-49.03469510
103,-49.03469481
104,-49.03469451
105,-49.03469420
106,-49.03469389
107,-49.03469357
108,-49.03469325
109,-49.03469291
110,-49.03469257
111,-49.03469223
112,-49.03469187
113,-49.03469151
114,-49.03469115
115,-49.03469077
116,-49.03469039
117,-49.03469001
118,-49.03468962
119,-49.03468922
120,-49.03468881
121,-49.03468840
122,-49.03468799
123,-49.03468756
124,-49.03468713
125,-49.03468670
126,-49.03468627
127,-49.03468582
128,-49.03468538
129,-49.03468477
130,-49.03468400
131,-49.03468329
132,-49.03468262
133,-49.03468196
134,-49.03468129
135,-49.03468062
136,-49.03467994
137,-49.03467927
138,-49.03467859
139,-49.03467791
140,-49.03467720
141,-49.03467646
142,-49.03467573
143,-49.03467499
144,-49.03467424
145,-49.03467350
146,-49.03467279
147,-49.03467213
148,-49.03467148
149,-49.03467083
150,-49.03467017
151,-49.03466952
152,-49.03466884
153,-49.03466814
154,-49.03466744
155,-49.03466674
156,-49.03466604
157,-49.03466533
158,-49.03466463
159,-49.03466392
160,-49.03466321
161,-49.03466246
162,-49.03466168
163,-49.03466089
164,-49.03466008
165,-49.03465926
166,-49.03465843
167,-49.03465760
168,-49.03465676
169,-49.03465593
170,-49.03465509
171,-49.03465425
172,-49.03465340
173,-49.03465256
174,-49.03465171
175,-49.03465087
176,-49.03465002
177,-49.03464916
178,-49.03464831
179,-49.03464746
180,-49.03464660
181,-49.03464574
182,-49.03464488
183,-49.03464401
184,-49.03464315
185,-49.03464229
186,-49.03464143
187,-49.03464058
188,-49.03463972
189,-49.03463914
190,-49.03463884
191,-49.03463859
192,-49.03463868
193,-49.03463906
194,-49.03463951
195,-49.03464001
196,-49.03464050
197,-49.03464124
198,-49.03464222
199,-49.03464319
