step,total_energy,num_particles
0,-2304.65419663,101
1,-2304.65414490,101
2,-2304.65396577,101
3,-2304.65365547,101
4,-2304.65320726,101
5,-2304.65261118,101
6,-2304.65185357,101
7,-2304.65091640,101
8,-2304.64977628,101
9,-2304.64840334,101
10,-2304.64675939,101
11,-2304.64479561,101
12,-2304.64244927,101
13,-2304.63963897,101
14,-2304.63625846,101
15,-2304.63216701,101
16,-2304.62717617,101
17,-2304.62102744,101
18,-2304.61335905,101
19,-2304.60365585,101
20,-2304.59116181,101
21,-2304.57473145,101
22,-2304.55256395,101
23,-2304.52169034,101
24,-2304.47695545,101
25,-2304.40875755,101
26,-2304.29754660,101
27,-2304.09867853,101
28,-2303.69262655,101
29,-2302.67486348,101
30,-2299.03411199,101
31,-2270.52529229,101
32,-2234.91213415,100
33,-2234.46050459,100
34,-2233.42942403,100
35,-2230.37753581,100
36,-2215.54090975,100
37,-2128.43811213,99
38,-2128.05967876,99
39,-2127.09323095,99
40,-2123.56744380,99
41,-2095.18893371,99
42,-2074.23222643,98
43,-2074.07015373,98
44,-2073.77389449,98
45,-2073.16419166,98
46,-2071.66576814,98
47,-2066.71185710,98
48,-2036.63795183,98
49,-1971.44952821,97
50,-1971.44895670,97
51,-1971.44833587,97
52,-1971.44765800,97
53,-1971.44691634,97
54,-1971.44610453,97
55,-1971.44521383,97
56,-1971.44422351,97
57,-1971.44312112,97
58,-1971.44190119,97
59,-1971.44054453,97
60,-1971.43903191,97
61,-1971.43733843,97
62,-1971.43543119,97
63,-1971.43327275,97
64,-1971.43080960,97
65,-1971.42798336,97
66,-1971.42472901,97
67,-1971.42094627,97
68,-1971.41652187,97
69,-1971.41133045,97
70,-1971.40518596,97
71,-1971.39782915,97
72,-1971.38888232,97
73,-1971.37795078,97
74,-1971.36442460,97
75,-1971.34733899,97
76,-1971.32539340,97
77,-1971.29662714,97
78,-1971.25816031,97
79,-1971.20531553,97
80,-1971.13028210,97
81,-1971.01962088,97
82,-1970.84857520,97
83,-1970.56807620,97
84,-1970.07052465,97
85,-1969.08782549,97
86,-1966.81701870,97
87,-1960.06030522,97
88,-1927.54149444,97
89,-1834.09528596,95
90,-1834.08697268,95
91,-1834.07566747,95
92,-1834.05966585,95
93,-1834.03581074,95
94,-1833.99774465,95
95,-1833.93125305,95
96,-1833.79954968,95
97,-1833.48538539,95
98,-1832.46781414,95
99,-1826.36337915,95
100,-1821.12975137,94
101,-1821.10250379,94
102,-1821.06407264,94
103,-1821.00744176,94
104,-1820.91920614,94
105,-1820.77169257,94
106,-1820.50066092,94
107,-1819.93178735,94
108,-1818.47006595,94
109,-1813.15022243,94
110,-1771.39766805,94
111,-1776.49327694,93
112,-1776.45052475,93
113,-1776.38974326,93
114,-1776.29894144,93
115,-1776.15394112,93
116,-1775.89997492,93
117,-1775.39058135,93
118,-1774.12606869,93
119,-1769.54853009,93
120,-1730.69709969,93
121,-1744.20883069,92
122,-1743.24597605,92
123,-1740.75400332,92
124,-1730.71208820,92
125,-1704.82701979,91
126,-1686.35794515,91
127,-1666.77238021,90
128,-1642.61074837,90
129,-1631.07248466,89
130,-1571.25216267,89
131,-1594.17302501,88
132,-1594.16817387,88
133,-1594.16221792,88
134,-1594.15485269,88
135,-1594.14559443,88
136,-1594.13373462,88
137,-1594.11817811,88
138,-1594.09728761,88
139,-1594.06837755,88
140,-1594.02673523,88
141,-1593.96381054,88
142,-1593.86275307,88
143,-1593.68654959,88
144,-1593.34105052,88
145,-1592.52826459,88
146,-1589.89196398,88
147,-1572.32959774,88
148,-1571.13838764,87
149,-1562.28276799,86
150,-1552.54805123,86
151,-1545.70481250,85
152,-1545.69396087,85
153,-1545.68021980,85
154,-1545.66248394,85
155,-1545.63915006,85
156,-1545.60779240,85
157,-1545.56449564,85
158,-1545.50262403,85
159,-1545.41019186,85
160,-1545.26426892,85
161,-1545.01769652,85
162,-1544.56009955,85
163,-1543.58550058,85
164,-1541.00458512,85
165,-1530.77645610,85
166,-1502.85913529,84
167,-1480.39046560,83
168,-1488.38332891,82
169,-1484.94794282,82
170,-1453.85871161,82
171,-1471.53857335,80
172,-1471.53254996,80
173,-1471.52544127,80
174,-1471.51691404,80
175,-1471.50651711,80
176,-1471.49357137,80
177,-1471.47698360,80
178,-1471.45492544,80
179,-1471.42438402,80
180,-1471.37983499,80
181,-1471.31010763,80
182,-1471.19021448,80
183,-1470.95520036,80
184,-1470.39539179,80
185,-1468.55625859,80
186,-1456.91768263,80
187,-1457.21391479,79
188,-1457.12752916,79
189,-1456.99479880,79
190,-1456.77412171,79
191,-1456.36528023,79
192,-1455.47574257,79
193,-1452.96939237,79
194,-1441.52292487,79
195,-1426.50504967,78
196,-1425.99495723,78
197,-1424.91544189,78
198,-1422.02458062,78
199,-1410.11330292,78
