step,total_energy,num_particles
0,-792506.37045553,1000
1,1324877.30715773,1000
2,1726865.55382782,1000
3,2703641.94173605,1000
4,2779669.50335375,1000
5,2825748.42047441,1000
6,2865087.14540852,1000
7,3373612.49712984,1000
8,5026032.99929191,1000
9,5033247.89532349,1000
10,5057449.39936869,1000
11,5129402.55054246,1000
12,5137044.68443215,1000
13,5170386.73544944,1000
14,5307830.48786401,1000
15,5313719.70822424,1000
16,5313509.82858482,1000
17,5314759.98932159,1000
18,5316447.61427022,1000
19,5347337.01847613,1000
20,5506665.15364048,1000
21,5525193.31239360,1000
22,5610723.90595568,1000
23,5633066.78827345,1000
24,5758503.87469270,1000
25,5758236.38293550,1000
26,5765507.82760032,1000
27,5768367.32134179,1000
28,5770099.92560406,1000
29,5782665.04410247,1000
30,5837403.07698612,999
31,5840188.46089629,999
32,5865503.52099433,999
33,6024628.23085673,999
34,6025984.90969767,999
35,6026538.31165459,999
36,6028558.91608926,999
37,6029521.55115010,999
38,6031309.74322897,999
39,6030233.24276293,998
40,6045620.26464887,998
41,6097607.42755549,998
42,6099494.03151305,998
43,6100948.70436407,998
44,6102146.16802311,998
45,6103536.48373529,998
46,6105574.92884924,998
47,6325193.31628156,998
48,7030737.85331625,998
49,7135927.18171951,998
50,7136879.68892251,998
51,7137888.54773685,998
52,7138873.07428864,998
53,7139937.18939153,998
54,7140723.52449324,998
55,7141527.86117912,998
56,7142611.37967460,998
57,7144068.86447484,998
58,7144702.07164600,998
59,7145326.20054364,998
60,7145939.94049719,998
61,7146611.84288131,998
62,7148874.45145250,998
63,7173569.83500094,998
64,7433111.63047426,998
65,7482952.67586624,998
66,7661360.79857001,998
67,7672148.20043453,998
68,7673289.22702062,998
69,7674236.00865716,998
70,7675113.38456614,998
71,7675931.21253589,998
72,7676983.79390775,998
73,7677693.30466530,998
74,7678716.56558260,998
75,7679450.22826491,998
76,7683119.99795004,998
77,7697129.12082016,998
78,7703139.81533140,998
79,7697979.81992044,998
80,7792355.97719521,998
81,7792965.64148866,998
82,7804167.86871626,998
83,7839137.24805788,998
84,7840982.57930288,998
85,7845987.87186823,998
86,7851677.48385184,998
87,7873037.37117873,998
88,7874937.87831559,998
89,7892129.44264121,998
90,7892824.41576418,998
91,7893741.75218695,998
92,7898029.02011315,998
93,7929063.72922836,998
94,7929568.32877232,998
95,7931381.93451319,998
96,7932441.57906318,998
97,7932975.12642682,998
98,7933530.06212392,998
99,7934092.37095919,998
100,7934425.52547303,998
101,7933604.25764198,997
102,7944359.04144332,997
103,7952386.00866857,997
104,7961179.49972164,997
105,7984249.78536778,997
106,7984242.80054024,997
107,7985052.35318444,997
108,7985983.85556160,997
109,7986767.71481349,997
110,7987487.76025951,997
111,7988218.68465272,997
112,7989147.85644583,997
113,7989710.06657384,997
114,7990229.60079924,997
115,7991587.76406744,997
116,7995979.39063437,996
117,7996418.72638732,996
118,7996195.73901248,996
119,7997934.31793610,996
120,8001509.67773839,996
121,8003218.11976895,996
122,8004413.45669193,996
123,8039842.48127766,996
124,8165075.20321901,996
125,8165528.73055092,996
126,8166199.01308736,995
127,8166396.95747852,995
128,8167012.25906255,995
129,8167711.07494092,995
130,8168839.60474934,995
131,8169803.76481651,995
132,8172589.37276922,995
133,8174048.31470974,995
134,8179273.63039581,995
135,8179759.82295655,995
136,8179022.49431784,995
137,8184154.27818425,995
138,8192362.65083618,994
139,8192627.21423530,994
140,8192909.70732513,994
141,8194360.23048952,994
142,8197896.86314220,994
143,8204584.31575421,994
144,8204237.39631857,994
145,8204417.87536012,994
146,8204551.35884932,994
147,8204757.70737312,994
148,8202742.81984446,994
149,8273115.17485022,994
150,8580580.28669405,994
151,8581090.80540066,994
152,8583583.71599874,994
153,8586124.98316429,994
154,8584722.35013674,994
155,8585046.75052805,994
156,8585403.99549526,994
157,8585780.47880865,994
158,8586159.32830151,994
159,8586547.35943743,994
