step,particle_id,x,y,z,vx,vy,vz,mass
0,0,0,0,0,0,0,0,1000
0,1,28.0816,28.026,-19.9773,-0.0414774,0.0523093,-0.0881934,0.35873
0,2,21.9215,25.8515,21.1734,-0.0127756,0.0183579,0.096013,0.718494
0,3,-5.87547,8.79668,28.3342,0.0157087,-0.0255998,0.0413767,0.453169
0,4,14.2789,-8.95135,-17.96,-0.00988248,-0.00177182,-0.0183169,0.92685
0,5,27.7369,25.0629,17.067,0.0163582,0.00189595,0.0358821,0.363345
0,6,-7.57207,-13.7408,22.6801,0.0841069,-0.0235812,0.0373401,0.851055
0,7,-29.8172,8.36229,-4.63715,0.000300729,0.00612259,0.0460947,0.79131
0,8,19.0584,17.6041,-29.5318,-0.0205104,0.0503718,0.0831957,0.859403
0,9,15.5613,2.09476,-11.335,-0.0509474,0.048215,-0.0828253,0.221286
0,10,13.5219,7.08542,4.16368,0.074851,-0.00368288,-0.025603,0.704446
0,11,11.6198,0.527071,-15.6226,0.0979342,0.00285912,0.0391141,0.376518
0,12,20.264,23.8307,-11.5762,-0.0331103,-0.0239553,0.0780439,0.299021
0,13,-12.5678,-2.57959,21.3811,-0.0792596,-0.0960613,-0.0572252,0.16012
0,14,24.5049,-29.8414,21.9623,-0.095754,-0.0441144,0.0354223,0.101316
0,15,18.1663,29.9839,-9.06388,-0.0924525,0.083725,-0.0263676,0.801804
0,16,-15.3828,28.0619,-26.8021,0.0315332,-0.0943269,-0.0772897,0.59373
0,17,2.28932,20.2967,26.1827,-0.0775763,0.0283814,0.0674888,0.544651
0,18,2.78562,28.3893,-14.7131,0.0848935,0.074913,0.0890847,0.622929
0,19,8.79338,-25.4061,-5.52614,-0.070595,0.0282446,-0.0439549,0.348738
0,20,-5.02748,-25.5086,-17.515,0.00672785,-0.0732261,0.0581385,0.863758
0,21,17.4785,-9.04537,7.57996,-0.0684687,-0.0233864,-0.0818731,0.324761
0,22,-3.65038,19.8202,-6.31618,0.0711233,0.0467481,-0.094871,0.204446
0,23,0.102519,-25.0984,23.6778,-0.0120867,0.0552094,0.0705782,0.451106
0,24,-4.68511,16.4276,2.70344,-0.0497396,-0.0496955,0.0419761,0.596492
0,25,25.5941,14.0376,-16.2818,-0.0550165,-0.0280666,0.00862243,0.708352
0,26,-9.95554,26.6915,18.0182,-0.0423456,0.0183061,0.0168349,0.614489
0,27,22.971,-6.48854,7.14511,-0.0749619,0.0231169,0.00111246,0.413642
0,28,-13.0139,16.5162,12.139,0.0788462,-0.0486175,-0.0819774,0.314017
0,29,-26.0066,-27.1523,28.3864,0.0650134,0.0129109,0.0233585,0.977157
0,30,0.598624,-24.2294,-24.4161,-0.0072295,-0.0550885,-0.066311,0.893498
0,31,-29.3675,-20.1774,25.7982,-0.0425517,-0.0327464,0.0557694,0.161053
0,32,-5.78391,3.37151,6.39105,0.0468838,-0.0995485,0.00525035,0.952433
0,33,27.2165,-5.5073,21.191,0.0491852,-0.0511664,-0.0580864,0.366547
0,34,-29.2904,-14.9886,-20.9605,-0.0164624,0.041961,0.0327188,0.942139
0,35,12.4687,-3.25265,4.86748,-0.0461881,-0.0741747,-0.00744066,0.949608
0,36,28.3058,-25.9688,-12.6116,-0.0636486,-0.0691866,-0.00550943,0.517381
0,37,2.96729,-4.57902,20.2536,-0.0134079,0.0936923,-0.0137686,0.68534
0,38,-29.5211,6.16025,-2.26893,0.0299598,0.0596552,0.00669409,0.41013
0,39,28.4698,-0.380731,-23.7543,0.0506224,0.0887,-0.0379087,0.78424
0,40,-3.80803,-14.0011,-9.65466,0.091897,-0.095587,-0.0929791,0.57445
0,41,-29.759,26.1308,6.28095,0.085536,0.0947164,0.0991075,0.268976
0,42,-16.954,-18.1056,-29.496,-0.0106806,0.00137724,-0.0662385,0.786344
0,43,8.83285,7.94493,21.7551,-0.0690744,0.00803467,-0.0504411,0.264311
0,44,-10.3378,25.3308,13.3595,0.0386568,-0.0279127,0.0591801,0.115826
0,45,21.8268,24.7327,0.684872,-0.0247652,0.0552683,-0.0451525,0.526446
0,46,-22.8929,9.92632,-18.1749,0.0198626,-0.026355,-0.0192254,0.384347
0,47,-2.5143,-28.6735,-14.4621,0.0254675,-0.0077293,0.0709063,0.898323
0,48,25.0723,-4.88489,4.20275,0.00562337,-0.0456273,0.0441008,0.758587
0,49,12.4294,-6.76985,4.29938,0.069422,0.00971449,0.0483416,0.191562
0,50,-16.6215,10.5548,13.1666,0.045771,0.037283,0.0244484,0.930732
0,51,3.03497,1.87905,-24.9749,0.0942415,-0.0381957,0.041143,0.900699
0,52,3.02654,-3.44372,6.14633,0.0760325,-0.00323677,0.0138361,0.817311
0,53,15.6407,3.86815,-22.9659,0.0596415,-0.0543902,-0.019705,0.994037
0,54,29.2266,7.70915,-17.5454,-0.0366061,0.0374313,0.00531138,0.164917
0,55,-11.8884,21.9008,28.0517,-0.0439294,0.0823651,0.0638747,0.514203
0,56,9.62208,-12.8031,20.4558,0.0603122,0.0492848,-0.075189,0.680958
0,57,-4.01271,7.25334,-0.768138,-0.0164771,-0.0903735,0.0938924,0.451876
0,58,-12.3307,19.0637,4.70098,0.0267964,0.0827223,-0.0673989,0.687863
0,59,7.02735,-27.1315,2.30608,0.0468175,-0.0287096,-0.0526397,0.117018
0,60,29.9465,28.9155,19.4122,-0.0368841,0.0281512,0.0622487,0.689514
0,61,-14.1151,-6.58429,-22.1253,-0.000845869,0.0238169,-0.0702094,0.376578
0,62,-8.59744,-19.284,-23.3556,-0.0951015,0.035953,-0.0761508,0.959146
0,63,20.3253,1.51842,6.01,-0.0165565,-0.0769526,0.0452498,0.181868
0,64,6.44553,23.9348,-5.58974,0.0144941,0.0158852,-0.0897668,0.746949
0,65,17.0468,18.1193,2.71596,-0.00862593,0.0362593,-0.0978029,0.7647
0,66,1.07948,4.55232,12.9761,0.0761071,0.0862728,-0.0741627,0.935644
0,67,6.82444,23.597,-11.41,-0.00207757,-0.0550522,-0.0890517,0.535073
0,68,14.3281,-4.35637,21.2215,-0.0947212,-0.0370845,-0.0891704,0.452808
0,69,24.1027,5.26285,-25.2237,-0.00113063,0.0710726,-0.0769434,0.678946
0,70,11.7308,11.0561,28.581,0.0736049,0.0865616,-0.0786596,0.160003
0,71,23.9497,-2.19132,-28.4031,-0.0464278,0.0745093,0.016886,0.292132
0,72,-4.85232,-25.0854,-20.0458,-0.0616689,0.00790365,0.0242926,0.422407
0,73,-8.56722,-25.1971,-26.6024,-0.0155386,-0.0815397,0.0515299,0.529335
0,74,3.75056,-14.9065,26.4,0.0707794,0.0414314,-0.00470783,0.729547
0,75,-25.6411,-16.185,-12.9953,-0.0615475,0.0945399,0.00442347,0.981966
0,76,25.7184,-29.3974,-24.0903,-0.0635214,0.0775468,-0.0601915,0.92925
0,77,-10.4938,-2.82081,19.6662,-0.0212753,-0.0930309,0.0097136,0.312917
0,78,13.0795,-21.0755,17.9407,-0.0722364,0.00638307,-0.0240224,0.445981
0,79,-3.97956,-24.129,-3.64232,-0.084575,-0.0355584,-0.0189232,0.50311
0,80,-19.028,-21.0888,25.0254,-0.052419,0.0477538,0.0931883,0.201262
0,81,-16.7199,6.94947,-6.22767,-0.0524582,0.0733434,-0.00479131,0.328789
0,82,-11.5581,-28.6141,-13.483,-0.00332839,-0.0197179,-0.0531112,0.150668
0,83,21.8018,0.66448,21.5756,-0.0513808,0.0721084,0.0613454,0.834849
0,84,-1.06753,-5.87738,16.7764,0.0723331,0.0292465,-0.0452718,0.8279
0,85,-3.29543,-17.5942,15.7768,0.0138852,-0.0572044,-0.0110157,0.479248
0,86,-11.3058,9.43026,7.91916,-0.0961344,0.0170774,0.00362405,0.517519
0,87,-21.9124,6.88331,-22.2975,0.0719291,-0.0998967,-0.0110014,0.212017
0,88,16.8314,5.84771,-26.5318,-0.0421139,-0.054783,-0.0950757,0.441956
0,89,-25.6609,26.4143,-17.5755,-0.00917318,-0.080529,0.095706,0.890929
0,90,-18.071,-0.172337,-10.3076,-0.052241,0.0658593,-0.0880691,0.150157
0,91,-29.6775,7.01807,1.59466,0.0242575,0.087277,0.0186009,0.904082
0,92,-6.60704,-1.20768,1.48748,-0.0974126,0.0659944,0.0638581,0.475527
0,93,-17.5891,-8.03874,26.9276,0.0385741,0.0315131,0.0122995,0.79212
0,94,16.6994,-24.4073,24.5389,-0.0995694,-0.0691208,-0.018345,0.571539
0,95,12.7458,-12.9399,21.9122,-0.0483363,0.0947913,0.0251776,0.145282
0,96,-24.5836,-24.6008,-5.73469,0.0359689,-0.00694193,0.095373,0.885802
0,97,24.0263,-9.75933,-8.29446,0.0811021,0.0338865,-0.0858831,0.91942
0,98,-14.7982,17.7006,23.1865,0.0429229,-0.0186014,0.0933626,0.225897
0,99,-15.1331,18.3208,-5.47608,0.057677,-0.0929347,0.0294921,0.598982
0,100,-6.86732,-13.9299,-7.71745,-0.0746035,-0.00683788,-0.0183889,0.626827
1,0,0,0,0,0,0,0,1000
1,1,28.0807,28.027,-19.979,-0.0482609,0.0455138,-0.0833856,0.35873
1,2,21.9212,25.8518,21.1753,-0.0196353,0.00997351,0.088987,0.718494
1,3,-5.87512,8.79611,28.3348,0.0200798,-0.0321279,0.0202487,0.453169
1,4,14.2785,-8.95127,-17.9602,-0.0291862,0.0105546,0.00603692,0.92685
1,5,27.7371,25.0629,17.0677,0.00805474,-0.00517512,0.0311355,0.363345
1,6,-7.57031,-13.7412,22.6806,0.0916896,-0.0101019,0.0152314,0.851055
1,7,-29.8169,8.36236,-4.63619,0.0203544,-3.74992e-05,0.0501488,0.79131
1,8,19.058,17.6051,-29.5301,-0.0269295,0.0441821,0.093416,0.859403
1,9,15.5598,2.09567,-11.3364,-0.0941318,0.0422983,-0.0516986,0.221286
1,10,13.5227,7.08498,4.16296,0.00626797,-0.0398119,-0.0466468,0.704446
1,11,11.6214,0.527114,-15.6214,0.0665777,0.00140687,0.0814822,0.376518
1,12,20.2632,23.83,-11.5746,-0.0444332,-0.0369772,0.0845498,0.299021
1,13,-12.5692,-2.58148,21.3797,-0.0619677,-0.0928802,-0.0857414,0.16012
1,14,24.5029,-29.8422,21.963,-0.101711,-0.0368934,0.0302285,0.101316
1,15,18.1644,29.9854,-9.06437,-0.100339,0.0704421,-0.0224495,0.801804
1,16,-15.3821,28.0599,-26.8036,0.0358713,-0.102339,-0.069575,0.59373
1,17,2.28776,20.2971,26.184,-0.0789214,0.0169096,0.0527388,0.544651
1,18,2.7873,28.3906,-14.7112,0.0834179,0.0571002,0.0984185,0.622929
1,19,8.79188,-25.4053,-5.52697,-0.0793988,0.0533157,-0.0386363,0.348738
1,20,-5.02731,-25.5099,-17.5137,0.0104343,-0.0562668,0.0685938,0.863758
1,21,17.4768,-9.04564,7.57816,-0.106104,-0.00342575,-0.0982822,0.324761
1,22,-3.64888,19.8207,-6.31794,0.0790235,0.00424105,-0.0811597,0.204446
1,23,0.102277,-25.0972,23.6791,-0.0120813,0.0680917,0.0586959,0.451106
1,24,-4.68592,16.426,2.70418,-0.0317448,-0.113738,0.0315677,0.596492
1,25,25.5929,14.037,-16.2816,-0.0691899,-0.0359066,0.0174237,0.708352
1,26,-9.95634,26.6917,18.0185,-0.0370255,0.0037533,0.00708513,0.614489
1,27,22.9692,-6.48799,7.14503,-0.104983,0.032073,-0.00894665,0.413642
1,28,-13.0121,16.515,12.1372,0.0972686,-0.0723786,-0.0993741,0.314017
1,29,-26.0052,-27.152,28.3868,0.0702365,0.0184134,0.017676,0.977157
1,30,0.59847,-24.2304,-24.4173,-0.00809938,-0.0428688,-0.0536036,0.893498
1,31,-29.3683,-20.178,25.7993,-0.0351735,-0.0280386,0.0495686,0.161053
1,32,-5.78151,3.36867,6.38954,0.193121,-0.184649,-0.156146,0.952433
1,33,27.2173,-5.5083,21.1897,0.0357188,-0.0483432,-0.0684043,0.366547
1,34,-29.2907,-14.9877,-20.9597,-0.00602411,0.0470782,0.0402141,0.942139
1,35,12.4668,-3.25389,4.86696,-0.141897,-0.0494349,-0.0446812,0.949608
1,36,28.3044,-25.9701,-12.6117,-0.0725962,-0.0609957,-0.00168661,0.517381
