step,particle_id,x,y,z,vx,vy,vz
0,0,0,0,0,0,-10,0
0,1,13.4765,-19.1094,-20.6004,0.0585946,0.0870447,-0.0921284
0,2,-21.2224,-25.6983,-14.8403,-0.0613756,-0.0844082,0.0127231
0,3,-23.9012,10.0311,19.4925,-0.0801488,-0.055035,0.0870308
0,4,7.98605,-1.83216,-9.25156,0.0289689,-0.0451655,0.0255454
0,5,22.4181,-25.3752,18.0634,0.0204758,0.0202519,0.00354193
0,6,-15.5961,12.7181,-19.7442,0.0768311,-0.0209343,-0.0277982
0,7,-7.54877,-0.975619,8.66267,-0.0840169,-0.0926337,-0.0154064
0,8,0.780021,-8.77405,-24.3194,-0.0357095,0.0698792,-0.0525237
0,9,-22.9997,-19.0269,-26.5267,-0.0631635,-0.0683268,0.0103979
0,10,7.02424,-19.283,-10.5065,-0.0170337,0.0582061,0.0976836
0,11,0.222665,-11.7225,6.21094,0.0330809,0.0208911,-0.0870253
0,12,29.7111,10.4113,-18.2178,-0.0239857,0.0257454,0.0535773
0,13,15.1121,2.90223,-15.4784,-0.0540706,0.0330624,-0.050072
0,14,22.4579,-6.38021,26.7018,-0.0280119,0.0602181,0.0117134
0,15,-14.735,28.382,15.5559,0.0259462,-0.0847805,-0.0647901
0,16,22.4733,8.78977,-17.4114,-0.000727542,0.0869439,0.0133998
0,17,-18.202,-5.56587,0.148225,-0.0282436,-0.0912369,0.0427663
0,18,0.239973,2.73344,-0.649815,-0.0422548,-0.0503508,0.0922448
0,19,-18.5673,-18.0505,-21.6416,0.0978954,0.084908,-0.0314347
0,20,-28.266,14.6341,21.5755,0.00634433,0.0751795,0.0157067
0,21,-26.3552,-17.3734,-8.10109,-0.0958524,0.0420222,0.0878323
0,22,-25.2664,-6.60117,7.04371,0.0351836,0.0935023,0.00615731
0,23,-26.3609,-29.352,-3.46603,-0.0453766,0.0524875,0.0410107
0,24,19.6614,26.4735,24.0115,0.0959348,-0.0833016,0.0414096
0,25,-23.7836,2.06549,11.6969,-0.0895591,0.0465648,-0.0210065
0,26,21.8692,26.7773,21.6601,-0.0450104,0.0768942,-0.094978
0,27,-9.96019,-16.5502,8.1421,0.00941986,-0.038519,-0.0666193
0,28,11.0386,-11.711,-22.7795,0.0848578,0.0943103,0.0379346
0,29,-21.5202,-3.46508,-15.7475,0.0398351,-0.0548997,-0.0872451
0,30,-3.91041,-17.9352,-12.8367,0.0185058,-0.0843167,0.00357882
0,31,1.88708,-21.7483,-18.0527,-0.0533533,-0.0763935,-0.0623067
0,32,25.0934,-2.23935,20.1006,0.0927376,-0.0545432,-0.0756421
0,33,24.5575,3.04749,4.90378,0.0847832,-0.0289872,0.0350166
0,34,-14.6967,29.5118,11.649,0.040305,-0.0137287,-0.0135042
0,35,4.8605,17.0691,-22.7685,-0.0283095,-0.0522867,-0.00256333
0,36,9.85753,-9.03827,-23.3638,-0.0406747,-0.0849136,-0.0319661
0,37,9.41686,-1.07719,-4.2707,0.0430026,0.0335702,0.0311286
0,38,20.5017,-11.5939,6.77807,-0.0853468,0.039873,0.0567886
0,39,16.8822,24.258,-12.6597,-0.0778916,0.0981835,-0.00535956
0,40,-8.91957,29.9211,6.66299,0.00911225,0.0311295,-0.0995515
0,41,-4.43836,-10.224,13.1328,-0.0578153,0.0729626,0.0921323
0,42,-8.21933,14.3365,2.05531,-0.0669281,-0.064913,0.0155372
0,43,21.4536,-29.8197,22.2497,-0.0938055,0.0203389,-0.0406107
0,44,-8.74084,-15.463,9.13806,0.0236851,-0.0424251,0.0428896
0,45,-28.6009,-7.15844,-9.29618,-0.0431253,0.0501899,0.094636
0,46,28.3202,-18.5188,27.3161,0.00915814,-0.0662242,-0.074011
0,47,24.1286,28.3528,23.8916,0.073978,0.0114746,0.0822001
0,48,1.07991,2.26674,-2.44894,-0.0277089,-0.0919674,0.041852
0,49,-2.48356,10.0167,23.2871,-0.0129566,0.0558284,-0.0487626
0,50,-4.51092,1.48181,8.74045,0.0823742,-0.049773,0.00651355
0,51,0.117586,14.854,-18.3184,-0.0168024,-0.0396828,-0.0237745
0,52,-25.3969,8.2515,-4.36873,-0.0397593,0.0116399,-0.0494059
0,53,-10.3271,-0.745823,26.7958,0.0763055,-0.0326452,0.0467434
0,54,15.3894,4.13876,-2.25189,-0.0193113,0.0668576,-0.0607705
0,55,10.1566,-29.9322,-27.336,-0.0176391,-0.047953,0.0276696
