step,total_energy
0,-6156.29560287
1,-6156.28261043
2,-6156.26572424
3,-6156.23395283
4,-6156.16383678
5,-6155.89158414
6,-6152.46723562
7,-6194.24758125
8,-5969.46387977
9,-5970.85956966
10,-5970.98483772
11,-5971.01191924
12,-5971.01531330
13,-5971.01162015
14,-5971.00035619
15,-5970.98109194
16,-5970.96213434
17,-5970.94395781
18,-5970.92445969
19,-5970.89826615
20,-5970.86134801
21,-5970.80973295
22,-5970.71907106
23,-5970.50466628
24,-5969.15906196
25,-5923.87553591
26,-5620.37508836
27,-5572.44508184
28,-5574.69216924
29,-5574.71573046
30,-5573.71507832
31,-5426.38432238
32,-4981.65480975
33,12625.67762578
34,67921.73102910
35,68670.85902605
36,71817.08123872
37,71834.35944428
38,71853.84319739
39,71836.41880634
40,71839.24831509
41,71850.55799261
42,72012.35395125
43,72012.28805709
44,72013.79120368
45,72742.31256744
46,74829.87244372
47,74894.81368896
48,74890.85840199
49,74916.84527519
50,74913.92845133
51,74909.35995423
52,74913.29903873
53,74913.20721355
54,74913.18508385
55,74912.19264310
56,74913.32282090
57,74915.19038844
58,74915.09036170
59,74915.11726144
60,74914.91910095
61,74914.81016637
62,74914.86862960
63,74915.12310007
64,74915.87430642
65,74921.56181914
66,74922.07677112
67,74923.79058213
68,74928.57782965
69,74950.31916334
70,75310.51048551
71,74133.15160416
72,73675.37824326
73,73763.25389074
74,869695.54864255
75,3308989.69133730
76,3308945.78346551
77,3308978.51822417
78,3308731.23623267
79,3309082.91383853
80,3309061.31880774
81,3309051.25433470
82,3309048.36064645
83,3309048.63276425
84,3309052.72949815
85,3309068.85414455
86,3309185.79668962
87,3310198.28288491
88,3329496.98027918
89,3343847.73264431
90,3343697.44402537
91,3343681.54356610
92,3343670.68431189
93,3343669.90340930
94,3343656.02278289
95,3343652.25076387
96,3343631.12646591
97,3343637.76859547
98,3343638.05540932
99,3343637.89569968
100,3343637.81092924
101,3343637.89727831
102,3343638.79567907
103,3343630.84516801
104,3343637.73287782
105,3343636.98516905
106,3343636.76585555
107,3343636.97817007
108,3343637.45915220
109,3343635.46333903
110,3343666.55579691
111,3343668.34477289
112,3343658.99622657
113,3343653.68591969
114,3343653.48561379
115,3343653.97493162
116,3343705.33549619
117,3343887.57480627
118,3343886.88066828
119,3343886.98124847
120,3343887.23032355
121,3343884.68725471
122,3343885.63972772
123,3343885.41374742
124,3343885.35553967
125,3343885.35087193
126,3343885.33377901
127,3343885.30057052
128,3343885.26578996
129,3343885.31371944
130,3343885.45008859
131,3343885.59390355
132,3343885.60782258
133,3343884.89115268
134,3343886.21804151
135,3343893.11896916
136,3343905.54695683
137,3343902.02623805
138,3343895.32535385
139,3343940.09694422
140,3343938.87337540
141,3343932.93508170
142,3343891.79299750
143,3343882.73273904
144,3343929.99868874
145,3343940.38635971
146,3343939.81662180
147,3343938.50515623
148,3343935.64203755
149,3343924.38741700
150,3343911.91818428
151,3343922.53511290
152,3343933.86193260
153,3343936.77885042
154,3343936.81765614
155,3343936.37929921
156,3343935.98667868
157,3343935.70599348
158,3343935.49863774
159,3343935.35955410
160,3343935.34285484
161,3343935.50590724
162,3343937.57265586
163,3343914.34278400
164,3343923.85080988
165,3343922.79607197
166,3343922.69705742
167,3343922.84652041
168,3343924.60185999
169,3343921.61704534
170,3343920.36610359
171,3343920.43814746
172,3343922.03105481
173,3343933.52723943
174,3343931.44555182
175,3343940.19679290
176,3343997.75916345
177,3343996.62493907
178,3343996.73091143
179,3343998.18834913
180,3343982.91433938
181,3343990.31834106
182,3343989.17639673
183,3343989.67774610
184,3343989.80613634
185,3343989.81169226
186,3343989.81736543
187,3343989.83345268
188,3343989.85133119
189,3343989.82702483
190,3343989.58389407
191,3343989.70466443
192,3343989.93155739
193,3343989.97951445
194,3343990.02406819
195,3343990.09389300
196,3343990.19135814
197,3343990.34156990
198,3343990.57343289
199,3343990.96554919
