step,total_energy
0,-259364.58023225
1,-259364.52705376
2,-259364.30858660
3,-259363.54411536
4,-259357.56026960
5,-243342.89555815
6,-190511.88040204
7,-190494.40851318
8,-190438.33864741
9,-190436.69422100
10,-190434.57589642
11,-190399.30288590
12,-190270.98504900
13,-159853.72612311
14,-61155.11566508
15,-61146.54491958
16,-4481.74844496
17,168389.73912873
18,168467.31771670
19,168960.78116133
20,137533772.61398163
21,547625154.11149156
22,549250365.62726867
23,549638094.38480735
24,549638074.42785299
25,549638066.13629913
26,549638093.86005449
27,549637984.79656792
28,549638492.45458186
29,549638577.09652078
30,549639920.72520769
31,558377919.21732366
32,586086233.79594314
33,690233615.57162523
34,1000700956.65994430
35,1000793376.26655972
36,1008799634.81998384
37,1033908440.42652202
38,1034689541.97552371
39,1036994612.55380058
40,1037269413.24626088
41,1037293528.84927785
42,1037311676.94502318
43,1037338700.27852786
44,1037345321.44369936
45,1037363549.31142235
46,1037424560.99248612
47,1037446462.90383422
48,1037446193.92770708
49,1037446312.57149529
50,1037447033.96114314
51,1037448541.08779585
52,1037453642.20627403
53,1037460662.34926450
54,1037533574.93557858
55,1037780672.63231504
56,1041994673.28759551
57,1054173564.62441838
58,1054186628.74869370
59,1055561461.75243962
60,1059750045.02487016
61,1060039129.68679941
62,1060050218.76827037
63,1060084730.14283538
64,1060084931.79803932
65,1060085062.49528825
66,1060351770.25413978
67,1061138216.66210318
68,1061138510.83844888
69,1063437857.82505393
70,1070950995.36516404
71,1072135382.26402473
72,1072222893.29650509
73,1072234735.39919722
74,1072249570.83603656
75,1072300736.53411984
76,1072303058.56607676
77,1072304235.71354902
78,1072396072.11639631
79,1072668737.02993178
80,1075646266.19510484
81,1084291136.47293806
82,1174378496.82076621
83,1447346971.14013624
84,1447354400.68646431
85,1447374480.22716451
86,1447422125.41043615
87,1447488532.26731920
88,1447828450.49626064
89,1447841226.37278318
90,1456126834.86800861
91,1480507825.45032263
92,1481120776.08778405
93,1481146511.59291124
94,1481157612.15502143
95,1481204185.55223179
96,1481722938.72033215
97,1483351266.70152593
98,1486587942.81219220
99,1495794502.49052691
100,1495785898.35421515
101,1495811483.53519964
102,1496732406.05325127
103,1499126461.32144952
104,1499228216.53019905
105,1499537486.15863109
106,1499739674.53757286
107,1500035496.31677723
108,1500209612.45099831
109,1502868138.34255338
110,1510895735.71660781
111,1511314144.68745637
112,1512717633.38518882
113,1512757679.57263684
114,1512794750.05054998
115,1512802474.82103205
116,1512822700.84572768
117,1512852941.06879520
118,1512939839.03070116
119,1512959211.80115557
120,1513114800.57118869
121,1513446035.10937428
122,1513549766.02936411
123,1513827118.80038595
124,1513857089.91201282
125,1513968604.70830750
126,1513963877.66183138
127,1513979060.03467321
128,1516134195.58754206
129,1525746556.34080386
130,1536132399.17261100
131,1536370553.21598077
132,1537066964.98653388
133,1537112326.26296282
134,1537150553.22386980
135,1537254868.04810524
136,1537559438.72158575
137,1537583380.59414887
138,1537616195.79912710
139,1537614439.50103283
140,1539396346.76225233
141,1544804938.51638603
142,1544844848.05011225
143,1545420148.58689332
144,1546879856.50227237
145,1547076951.11108375
146,1547616689.97296810
147,1547716063.29168320
148,1547724493.52904963
149,1547861437.02991962
150,1548192146.92661309
151,1548241717.59032965
152,1548442240.97417212
153,1548968902.04463077
154,1548969447.46199036
155,1548985628.99800158
156,1549010659.21430755
157,1549012309.32409668
158,1549082011.81147814
159,1549139683.19044518
160,1550898660.89950395
161,1555148084.87886024
162,1555257281.43159032
163,1555265325.47283077
164,1555347504.02292395
165,1555415047.44423771
166,1555437080.75246167
167,1555437085.26684189
168,1555464093.13170528
169,1555501094.20837927
170,1555499714.42495179
171,1555638781.41709614
172,1555885083.66864872
173,1555979854.22263765
174,1556100268.81094599
175,1556136532.68635726
176,1556152989.46888399
177,1556157932.16533184
178,1556285880.00127721
179,1556752984.88753867
180,1556793421.71891785
181,1556925552.75355554
182,1556932364.37139153
183,1556987528.32445526
184,1556994377.52276254
185,1557064994.92151332
186,1557117679.25315571
187,1557206826.24367094
188,1557244816.85891986
189,1557387125.87654901
190,1557504224.40102720
191,1557587097.28218436
192,1557584080.84930205
193,1557599797.55922580
194,1557645554.30960083
195,1557722317.94955277
196,1557766300.66178322
197,1557780531.19926119
198,1557808689.09596157
199,1557836591.44984531
