step,total_energy
0,-2105.00020864
1,-2105.00048886
2,-2105.00113666
3,-2105.00146712
4,-2105.00173592
5,-2105.00019472
6,-2104.99676432
7,-2104.99162304
8,-2104.98170194
9,-2104.95550124
10,-2104.83291747
11,-2102.49990841
12,-2099.05899466
13,-2100.94017425
14,-2101.05443996
15,-2101.07992834
16,-2101.09052677
17,-2101.09694567
18,-2101.10095698
19,-2101.10378139
20,-2101.10546476
21,-2101.10346367
22,-2101.09235182
23,-2101.05144472
24,-2100.75008364
25,-2100.02922853
26,-2067.48711519
27,-2067.72727406
28,-2067.37796825
29,-2071.44772323
30,-2071.40188351
31,-2061.06256872
32,-2061.28045236
33,-2061.30181979
34,-2061.30841319
35,-2061.31152203
36,-2061.31316291
37,-2061.31330213
38,-2061.31204393
39,-2061.30900361
40,-2061.30532651
41,-2061.30173009
42,-2061.29343377
43,-2061.26940806
44,-2061.19781541
45,-2061.77963029
46,-2060.12256226
47,-2060.33725716
48,-2060.38311362
49,-2060.39530388
50,-2060.39850634
51,-2060.39817856
52,-2060.39613453
53,-2060.39147748
54,-2060.38256461
55,-2060.36301467
56,-2060.29795363
57,-2060.15454376
58,-2059.75180046
59,-2059.99205122
60,-2060.04507722
61,-2060.04079816
62,-2059.96355232
63,-2059.92062925
64,-2056.58428718
65,-2053.35680992
66,-2053.71713603
67,-2053.79576665
68,-2053.82172385
69,-2053.72732425
70,-2053.71929867
71,-2053.72492093
72,-2053.72662328
73,-2053.72418612
74,-2053.72118083
75,-2053.71808338
76,-2053.71475520
77,-2053.71113641
78,-2053.70790573
79,-2053.70457925
80,-2053.70036382
81,-2053.69415491
82,-2053.68235163
83,-2053.65608804
84,-2053.56909256
85,-2053.90587024
86,-2051.47438212
87,-2051.82418434
88,-2051.86408655
89,-2051.85374165
90,-2051.82743913
91,-2052.67713454
92,-2051.69816560
93,-2051.80551319
94,-2052.04823582
95,-2052.28458499
96,-2051.69370480
97,-2048.57073769
98,-2048.83897769
99,-2049.02303656
100,-2048.01440695
101,-2050.44798256
102,-2050.25739678
103,-2050.12206462
104,-2050.14902264
105,-2046.99125223
106,-2047.36410619
107,-2047.39051169
108,-2047.39726821
109,-2047.40224584
110,-2047.40753162
111,-2047.41352689
112,-2047.42007579
113,-2047.42707125
114,-2047.43269700
115,-2047.43622008
116,-2047.43906686
117,-2047.44177230
118,-2047.44542251
119,-2047.45317992
120,-2047.46217883
121,-2047.46700587
122,-2047.46662616
123,-2047.46296686
124,-2047.46000637
125,-2047.45920964
126,-2047.45945572
127,-2047.45983963
128,-2047.46020683
129,-2047.45917057
130,-2047.45686821
131,-2047.45086989
132,-2047.44514480
133,-2047.44431475
134,-2047.44816964
135,-2047.45785384
136,-2047.46350402
137,-2047.45545259
138,-2047.44439994
139,-2047.44039474
140,-2047.44106404
141,-2047.44311635
142,-2047.44571047
143,-2047.44861264
144,-2047.45189020
145,-2047.45519226
146,-2047.45790033
147,-2047.46012940
148,-2047.46186875
149,-2047.46374490
150,-2047.46678742
151,-2047.46992392
152,-2047.47207463
153,-2047.47358671
154,-2047.47491285
155,-2047.47604410
156,-2047.47608668
157,-2047.47386360
158,-2047.47029556
159,-2047.46502738
160,-2047.45446243
161,-2047.42002489
162,-2047.18590284
163,-2044.05113952
164,-2013.75775321
165,-2014.07122194
166,-2014.10020751
167,-2014.10559971
168,-2014.10626210
169,-2014.10754322
170,-2014.10916992
171,-2014.10976497
172,-2014.10940673
173,-2014.10879282
174,-2014.10824403
175,-2014.10729318
176,-2014.10606822
177,-2014.10547696
178,-2014.10557742
179,-2014.10526241
180,-2014.10472510
181,-2014.10491374
182,-2014.10555735
183,-2014.10580919
184,-2014.10457622
185,-2014.10215678
186,-2014.09908100
187,-2014.09582086
188,-2014.09289814
189,-2014.08967556
190,-2014.08534357
191,-2014.08100700
192,-2014.07761451
193,-2014.07466420
194,-2014.07229847
195,-2014.07303835
196,-2014.08034362
197,-2014.09738663
198,-2014.13120387
199,-2014.19282389
