NumParticles,Algorithm,NumCores,TimeSeconds
2,Direct,1,1.8e-05
2,Direct,2,2.9e-05
2,Direct,4,7.7e-05
2,Direct,8,7.4e-05
2,FMM,1,5.3e-05
2,FMM,2,0.000103
2,FMM,4,0.000123
2,FMM,8,0.000348
4,Direct,1,0
4,Direct,2,5.4e-05
4,Direct,4,8.2e-05
4,Direct,8,0.000139
4,FMM,1,0.000127
4,FMM,2,0.000419
4,FMM,4,0.0004
4,FMM,8,0.000304
8,Direct,1,1e-06
8,Direct,2,5.1e-05
8,Direct,4,5.2e-05
8,Direct,8,7.3e-05
8,FMM,1,0.000208
8,FMM,2,0.000291
8,FMM,4,0.000287
8,FMM,8,0.000479
16,Direct,1,1e-06
16,Direct,2,4.5e-05
16,Direct,4,3.5e-05
16,Direct,8,6e-05
16,FMM,1,0.000763
16,FMM,2,0.000763
16,FMM,4,0.000681
16,FMM,8,0.000995
32,Direct,1,3e-06
32,Direct,2,6.2e-05
32,Direct,4,5.1e-05
32,Direct,8,9.2e-05
32,FMM,1,0.002224
32,FMM,2,0.001532
32,FMM,4,0.002294
32,FMM,8,0.001062
64,Direct,1,1e-05
64,Direct,2,5.8e-05
64,Direct,4,4.8e-05
64,Direct,8,7.6e-05
64,FMM,1,0.005396
64,FMM,2,0.003361
64,FMM,4,0.002764
64,FMM,8,0.002542
128,Direct,1,5.9e-05
128,Direct,2,8.8e-05
128,Direct,4,9.2e-05
128,Direct,8,9.4e-05
128,FMM,1,0.015457
128,FMM,2,0.008303
128,FMM,4,0.004619
128,FMM,8,0.004728
256,Direct,1,0.000149
256,Direct,2,0.000129
256,Direct,4,0.000102
256,Direct,8,0.000121
256,FMM,1,0.02541
256,FMM,2,0.013292
256,FMM,4,0.008171
256,FMM,8,0.007704
512,Direct,1,0.000501
512,Direct,2,0.00037
512,Direct,4,0.000393
512,Direct,8,0.000273
512,FMM,1,0.050305
512,FMM,2,0.028892
512,FMM,4,0.017232
512,FMM,8,0.015963
1024,Direct,1,0.001854
1024,Direct,2,0.001046
1024,Direct,4,0.000909
1024,Direct,8,0.000554
1024,FMM,1,0.104521
1024,FMM,2,0.058327
1024,FMM,4,0.034594
1024,FMM,8,0.032104
2048,Direct,1,0.007408
2048,Direct,2,0.003996
2048,Direct,4,0.002311
2048,Direct,8,0.001941
2048,FMM,1,0.221224
2048,FMM,2,0.118846
2048,FMM,4,0.068377
2048,FMM,8,0.057786
4096,Direct,1,0.030366
4096,Direct,2,0.016558
4096,Direct,4,0.009335
4096,Direct,8,0.007891
4096,FMM,1,0.452904
4096,FMM,2,0.309289
4096,FMM,4,0.153266
4096,FMM,8,0.119881
8192,Direct,1,0.235632
8192,Direct,2,0.06441
8192,Direct,4,0.033916
8192,Direct,8,0.028447
8192,FMM,1,1.01388
8192,FMM,2,0.504447
8192,FMM,4,0.277363
8192,FMM,8,0.233272
16384,Direct,1,0.493409
16384,Direct,2,0.246406
16384,Direct,4,0.130709
16384,Direct,8,0.17505
16384,FMM,1,2.04771
16384,FMM,2,1.08911
16384,FMM,4,0.626698
16384,FMM,8,0.485753
32768,Direct,1,1.95773
32768,Direct,2,1.03958
32768,Direct,4,0.671314
32768,Direct,8,0.474195
32768,FMM,1,4.24305
32768,FMM,2,2.23977
32768,FMM,4,1.206
32768,FMM,8,0.948688
65536,FMM,1,7.97562
65536,FMM,2,4.42123
65536,FMM,4,2.48958
65536,FMM,8,2.24569
131072,FMM,1,16.284
131072,FMM,2,8.80169
131072,FMM,4,5.34067
131072,FMM,8,4.30133
262144,FMM,1,34.5917
262144,FMM,2,18.2629
262144,FMM,4,9.85378
262144,FMM,8,8.05666
524288,FMM,1,66.4685
524288,FMM,2,36.378
524288,FMM,4,20.908
524288,FMM,8,17.8835
