step,particle_id,x,y,z,vx,vy,vz,mass
0,0,-27.3583,-21.9011,-29.4273,0.0678925,-0.0528355,0.0866084,0.281893
0,1,25.9515,-29.7188,-26.8338,-0.0535874,-0.0417695,-0.00912731,0.363927
0,2,-27.6234,-23.8042,-0.931366,0.0786342,-0.0389914,0.0465637,0.817897
0,3,16.4566,-19.6093,-0.681151,0.0638273,-0.0835237,-0.0506317,0.277647
0,4,4.55073,-0.814879,27.213,-0.0676684,0.0233815,0.000665564,0.185517
0,5,-18.4684,-25.3669,3.25849,0.0998837,0.0440909,0.00911207,0.998101
0,6,-16.6211,18.658,0.854093,-0.0834134,0.0516757,-0.0258368,0.427114
0,7,3.55129,16.493,-13.2235,0.0795091,-0.00799972,0.0306617,0.517751
0,8,-14.9871,-28.5773,18.2734,0.0358416,-0.0156692,0.0730909,0.849194
0,9,4.75948,-14.7674,-20.3189,-0.0777275,0.0839768,0.0950473,0.566699
0,10,-5.91975,-12.3704,19.5165,0.0382964,-0.0849755,0.0382453,0.235212
0,11,-24.246,-17.4997,-22.5644,0.0382691,-0.0536637,-0.04831,0.257555
0,12,0.242768,-15.3329,-24.6378,0.0439342,-0.0267373,-0.0609276,0.382056
0,13,-8.71739,-15.5069,-2.44092,0.0041961,-0.00408662,0.0977437,0.177615
0,14,-16.4961,9.97972,-20.8418,-0.0942707,0.0611196,0.036076,0.182822
0,15,-16.3441,-5.11121,26.1832,-0.0118746,-0.00571259,-0.086522,0.713215
0,16,-25.7902,-27.3049,22.4211,0.0868287,0.00321798,0.00479064,0.663839
0,17,4.41935,21.316,-15.8147,0.0900188,-0.0411238,-0.0422145,0.373561
0,18,7.19852,20.8888,-4.61893,-0.0191388,0.0697824,0.0918843,0.161703
0,19,-15.498,2.1584,9.57508,0.0443771,-0.0420558,0.0203323,0.977347
0,20,-13.6659,23.3296,-17.1694,-0.0283881,0.0576169,-0.0793396,0.648928
0,21,8.38127,17.1103,-7.99512,-0.00648819,-0.0727304,0.0362447,0.475608
0,22,-20.3595,10.55,-8.58378,-0.0266168,0.0908759,-0.0473056,0.911986
0,23,7.84696,-9.2968,8.61943,0.0376858,0.021605,-0.023065,0.909641
0,24,-23.1488,9.49113,6.26189,-0.00481967,0.0939407,0.0641617,0.177189
0,25,1.88611,-24.7977,-18.5067,-0.092499,-0.0459222,-0.0215242,0.782468
0,26,-5.99038,-5.45676,20.9735,-0.0183057,-0.0420301,-0.0426948,0.785775
0,27,-4.61679,-10.536,-17.1077,-0.0794675,-0.0371186,0.0337261,0.816166
0,28,-20.7683,-27.8746,-1.43982,-0.067951,-0.0705408,-0.0990977,0.459335
0,29,10.1676,14.7658,-0.413266,0.0439623,-0.079576,-0.0252972,0.21582
0,30,-0.293777,-5.27227,-11.4186,-0.0980318,-0.0329054,-0.0506904,0.550629
0,31,-4.91895,27.2328,-20.1907,-0.030337,0.0724497,-0.0558386,0.132237
0,32,-25.4378,-8.86161,-11.0209,0.0226156,0.01259,0.0929043,0.706726
0,33,15.6439,-16.4313,-18.3781,0.00732126,-0.057315,0.0635924,0.239022
0,34,23.6469,27.6124,-18.1736,-0.0952836,-0.0675246,-0.0196512,0.796553
0,35,-4.45438,19.5347,10.9786,-0.0267396,-0.0774976,0.0580544,0.517803
0,36,-13.0625,-11.2011,6.07648,0.0395431,-0.0288931,0.0321162,0.630024
0,37,-21.6505,13.6171,-26.9054,-0.0674712,-0.053191,-0.0537445,0.497381
0,38,8.95428,-19.9183,-13.9511,-0.0459117,0.0531956,-0.00067896,0.751255
0,39,-16.62,-13.5015,-18.6753,-0.0384963,0.0647488,-0.092353,0.33091
0,40,-6.37302,6.48243,-14.0339,0.0498234,0.0875325,0.0379349,0.974642
0,41,21.177,29.9344,-21.7658,0.0805238,0.0870501,-0.0934297,0.822148
0,42,-18.9891,-1.79461,-0.7008,0.0252379,-0.0982213,0.0529175,0.130147
0,43,-23.1456,23.2787,-19.9849,-0.0715256,0.048371,-0.0100766,0.356156
0,44,22.8376,3.92698,-19.429,0.0542298,-0.0322618,0.0273299,0.462929
0,45,6.7458,19.0313,12.9763,-0.0287102,0.0837496,-0.0531354,0.19053
0,46,26.8437,-22.0159,-26.5909,-0.0863687,-0.0841235,0.0773621,0.364652
0,47,7.52295,-22.6516,20.8188,0.0407549,-0.0193303,-0.0631338,0.249203
0,48,15.8575,-17.5258,-8.87985,0.082066,-0.0564702,-0.0507134,0.163188
0,49,13.9071,27.9345,11.1171,0.00359595,0.0406907,-0.022372,0.813118
0,50,-19.0749,14.1083,-5.62064,-0.0342756,0.024724,0.0799517,0.501986
0,51,12.1901,-11.1687,-24.2988,-0.0247078,0.0689932,0.0926348,0.963454
0,52,-23.8098,-16.8643,11.4432,0.0083347,-0.016488,0.0999009,0.868806
0,53,-18.3772,-22.1089,4.10736,-0.0803389,-0.0993126,-0.0892006,0.763991
0,54,10.5968,-22.3162,-19.5592,-0.0452106,-0.0352613,-0.0617835,0.267315
0,55,-27.9446,-9.53247,23.8864,-0.0173763,0.0974987,-0.0295293,0.479625
0,56,4.00499,-19.4918,-13.2764,-0.0511485,-0.0903358,0.0710735,0.737063
0,57,-7.55258,-20.8138,-28.335,0.031996,0.0294433,-0.0783697,0.375031
0,58,-5.96873,-8.49984,23.9219,-0.0740337,-0.0482357,0.0796634,0.104139
0,59,-14.1981,-29.1158,0.307432,-0.0834279,-0.0390459,0.046889,0.759846
0,60,12.0565,-16.5847,11.4314,0.0578586,0.0154601,-0.0372683,0.170705
0,61,-11.5125,-21.3892,-21.6814,-0.0220069,0.0949596,0.041445,0.744756
0,62,9.1226,-27.7747,27.9903,-0.0629803,-0.0521293,0.0652756,0.372991
0,63,-19.8182,-20.4024,-25.1307,-0.0983552,0.00828903,0.0178325,0.616727
0,64,15.6412,-7.84954,-23.4189,0.0144058,-0.0982984,0.0697558,0.114103
0,65,-7.58188,-20.1414,-1.51428,-0.0194048,-0.0253233,-0.0552154,0.465519
0,66,1.39595,10.5683,-3.19286,-0.0137804,0.0434175,-0.0812667,0.980898
0,67,-4.50429,-14.9347,-10.7714,-0.00484931,-0.028918,-0.0411258,0.756317
0,68,-22.8423,-20.5265,-18.9757,0.0180591,-0.0814397,-0.0270216,0.98657
0,69,-16.442,-12.423,-19.4561,0.00515677,-0.0619715,-0.0621987,0.225793
0,70,11.9536,15.6131,-8.81992,-0.0373851,-0.0363193,0.0312007,0.207583
