step,particle_id,x,y,z,vx,vy,vz
0,0,0,0,0,0,0,0
0,1,12.2257,2.29797,-0.000207032,-1.68208,8.79253,0.00703535
0,2,6.7433,-19.4693,-0.357829,6.55754,2.24582,0.00714838
0,3,3.86124,4.22679,0.000702419,-9.78949,8.97367,0.00498458
0,4,-11.5445,-16.027,-0.455457,5.74549,-4.17958,0.00980849
0,5,-18.4017,12.8818,-0.0594406,-3.82215,-5.44378,0.00409795
0,6,5.75847,-5.20799,-0.417076,7.59033,8.43201,-0.0047751
0,7,-2.31526,-7.78544,-0.145825,10.6467,-3.11015,-0.00397759
0,8,-4.1936,5.86049,-0.0746201,-9.56219,-6.81513,-0.00463433
0,9,-3.33347,-27.0336,-0.287858,6.01746,-0.726681,-0.00936762
0,10,6.39753,-7.92913,0.126872,7.67815,6.17525,0.00997905
0,11,25.9843,-11.0487,0.261823,2.33285,5.472,0.000956276
0,12,-4.70861,-2.99225,0.0635146,7.22107,-11.2666,-0.00837901
0,13,5.20134,4.00508,-0.382899,-7.49429,9.83405,0.00723414
0,14,11.5905,-23.9033,-0.0536288,5.5147,2.67901,-0.000588801
0,15,3.59381,-14.9705,-0.246762,7.86607,1.91017,0.00513951
0,16,-10.3799,16.8103,-0.154409,-6.08327,-3.72589,0.00540733
0,17,3.09677,-12.4131,0.492283,8.60963,2.10372,0.00582727
0,18,0.307461,-23.7132,0.348205,6.46936,0.0574429,0.00321806
0,19,4.29955,2.64841,-0.243958,-7.36123,11.9235,-0.00856412
0,20,-0.686126,7.99931,0.343244,-11.1534,-0.992504,0.00881407
0,21,-4.24878,9.87247,-0.470603,-8.85612,-3.80527,0.0066167
0,22,-24.6299,-3.25202,0.355044,0.844314,-6.25923,0.00872862
0,23,12.8092,-23.6226,-0.135872,5.33523,2.90561,-0.00553775
0,24,4.5941,-20.7096,-0.0533854,6.70192,1.49383,-0.00387734
0,25,1.70531,14.6143,-0.225271,-8.2054,0.964506,0.000306254
0,26,-29.4613,0.287851,0.215124,-0.0716121,-5.81,-0.00127135
0,27,1.73711,-7.35986,0.0715524,11.1839,2.60159,0.00282104
0,28,11.8429,-22.189,-0.119688,5.56372,2.97955,-0.000673309
0,29,-1.95107,8.73834,-0.248511,-10.3614,-2.26353,0.00253493
0,30,-0.960038,-11.2063,0.206889,9.35181,-0.844892,-0.00881406
0,31,-12.9841,-1.74649,-0.403429,1.194,-8.6589,0.00587318
0,32,-0.334038,-15.9433,0.281799,7.8881,-0.162854,-0.00394952
0,33,1.71556,10.1693,0.390805,-9.68313,1.62861,0.00177308
0,34,0.0703801,11.5535,0.396136,-9.33739,0.0135117,-0.0073123
0,35,-5.1502,-9.30565,0.352903,8.45497,-4.66899,-0.000239133
0,36,-4.21713,-20.123,0.077271,6.84314,-1.40801,1.90362e-05
0,37,-0.698792,6.70548,0.415964,-12.0823,-1.26509,-0.000444045
0,38,6.5363,-2.08322,-0.00435504,3.60893,11.5582,0.00421715
0,39,14.7956,-7.94164,0.0472142,3.62664,6.80097,0.00625898
