step,particle_id,name,x,y,z,vx,vy,vz
0,0,Sun,-7.03599e+08,3.02322e+08,3.44198e+06,-7.46536,-15.6564,0.24443
0,1,Mercury,-2.35708e+10,6.64222e+10,2.9994e+09,-38297.9,-9942.51,3191.46
0,2,Venus,3.32459e+10,-1.02201e+11,-4.51644e+09,32874.6,11036.2,-1565.74
0,3,Earth,-1.463e+11,2.67928e+10,-3.47492e+06,-6199.97,-29280.6,0.611458
0,4,Mars,-5.37244e+10,2.22795e+11,6.28865e+09,-23331.2,-3824.75,453.035
0,5,Jupiter,4.79347e+11,-6.16336e+11,-1.08459e+10,9621.3,8122.39,-226.896
0,6,Saturn,1.34747e+12,4.49164e+11,-4.52017e+10,-3229.24,8576.4,109.113
0,7,Uranus,2.80416e+12,-1.12316e+12,-5.00898e+10,2496.91,5613.44,-81.9555
0,8,Neptune,4.39964e+12,8.09714e+11,-8.81404e+10,-976.973,5161.7,116.423
1,0,Sun,-7.04243e+08,3.00968e+08,3.46308e+06,-7.45364,-15.6716,0.244045
1,1,Mercury,-2.68467e+10,6.54678e+10,3.27082e+09,-37484.5,-12122.3,3087.5
1,2,Venus,3.60729e+10,-1.01207e+11,-4.64995e+09,32553.3,11962.9,-1524.07
1,3,Earth,-1.46814e+11,2.42589e+10,-3.42104e+06,-5684.3,-29369.8,0.635642
1,4,Mars,-5.5738e+10,2.22456e+11,6.32753e+09,-23279.5,-4037.37,447.005
1,5,Jupiter,4.80178e+11,-6.15633e+11,-1.08655e+10,9598.21,8152,-226.375
1,6,Saturn,1.34719e+12,4.49905e+11,-4.51922e+10,-3240.01,8572.81,109.474
1,7,Uranus,2.80437e+12,-1.12267e+12,-5.00969e+10,2494.58,5614.37,-81.9138
1,8,Neptune,4.39955e+12,8.1016e+11,-8.81303e+10,-978.101,5161.49,116.445
2,0,Sun,-7.04887e+08,2.99614e+08,3.48415e+06,-7.44185,-15.6868,0.243658
2,1,Mercury,-3.00481e+10,6.43275e+10,3.53292e+09,-36573.2,-14244.9,2975.86
2,2,Venus,3.88711e+10,-1.00133e+11,-4.7798e+09,32206.4,12880.5,-1481.19
2,3,Earth,-1.47283e+11,2.17177e+10,-3.36508e+06,-5167.66,-29449.9,0.65967
2,4,Mars,-5.77471e+10,2.22098e+11,6.36589e+09,-23226,-4249.25,440.95
2,5,Jupiter,4.81006e+11,-6.14927e+11,-1.08851e+10,9575.09,8181.59,-225.852
2,6,Saturn,1.34691e+12,4.50646e+11,-4.51828e+10,-3250.77,8569.21,109.835
2,7,Uranus,2.80459e+12,-1.12219e+12,-5.0104e+10,2492.25,5615.31,-81.8721
2,8,Neptune,4.39947e+12,8.10606e+11,-8.81202e+10,-979.228,5161.28,116.468
3,0,Sun,-7.05529e+08,2.98258e+08,3.50519e+06,-7.43,-15.702,0.243269
3,1,Mercury,-3.31666e+10,6.30063e+10,3.78504e+09,-35567.1,-16308.5,2856.84
3,2,Venus,4.16382e+10,-9.8981e+10,-4.9059e+09,31834,13788.2,-1437.14
3,3,Earth,-1.47707e+11,1.91699e+10,-3.30705e+06,-4650.22,-29520.9,0.683534
3,4,Mars,-5.97515e+10,2.21721e+11,6.40372e+09,-23170.7,-4460.38,434.871
3,5,Jupiter,4.81832e+11,-6.14219e+11,-1.09046e+10,9551.92,8211.14,-225.328
3,6,Saturn,1.34663e+12,4.51386e+11,-4.51732e+10,-3261.53,8565.61,110.196
3,7,Uranus,2.8048e+12,-1.1217e+12,-5.01111e+10,2489.91,5616.24,-81.8304
3,8,Neptune,4.39938e+12,8.11052e+11,-8.81102e+10,-980.355,5161.08,116.491
4,0,Sun,-7.0617e+08,2.969e+08,3.52619e+06,-7.41809,-15.7172,0.242877
4,1,Mercury,-3.61941e+10,6.15094e+10,4.02658e+09,-34469.1,-18311.3,2730.72
4,2,Venus,4.4372e+10,-9.77508e+10,-5.02814e+09,31436.6,14685.4,-1391.94
4,3,Earth,-1.48086e+11,1.66165e+10,-3.24697e+06,-4132.13,-29582.9,0.707228
4,4,Mars,-6.1751e+10,2.21327e+11,6.44103e+09,-23113.6,-4670.74,428.768
4,5,Jupiter,4.82657e+11,-6.13508e+11,-1.0924e+10,9528.7,8240.67,-224.803
4,6,Saturn,1.34634e+12,4.52126e+11,-4.51637e+10,-3272.29,8562,110.556
4,7,Uranus,2.80502e+12,-1.12122e+12,-5.01181e+10,2487.58,5617.17,-81.7888
4,8,Neptune,4.3993e+12,8.11498e+11,-8.81001e+10,-981.482,5160.87,116.513
5,0,Sun,-7.06811e+08,2.95542e+08,3.54716e+06,-7.40611,-15.7324,0.242484
5,1,Mercury,-3.91228e+10,5.98421e+10,4.25691e+09,-33281.9,-20251.6,2597.75
5,2,Venus,4.70704e+10,-9.64434e+10,-5.14642e+09,31014.3,15571.3,-1345.63
5,3,Earth,-1.48421e+11,1.4058e+10,-3.18484e+06,-3613.56,-29635.8,0.730745
5,4,Mars,-6.37455e+10,2.20914e+11,6.47781e+09,-23054.7,-4880.32,422.64
5,5,Jupiter,4.83479e+11,-6.12795e+11,-1.09434e+10,9505.44,8270.16,-224.277
5,6,Saturn,1.34606e+12,4.52865e+11,-4.51541e+10,-3283.04,8558.39,110.917
5,7,Uranus,2.80523e+12,-1.12073e+12,-5.01252e+10,2485.24,5618.1,-81.7471
5,8,Neptune,4.39921e+12,8.11944e+11,-8.80901e+10,-982.609,5160.66,116.536
6,0,Sun,-7.0745e+08,2.94182e+08,3.56809e+06,-7.39406,-15.7476,0.242089
6,1,Mercury,-4.19452e+10,5.80099e+10,4.47547e+09,-32007.7,-22127.5,2458.18
6,2,Venus,4.97313e+10,-9.506e+10,-5.26066e+09,30567.4,16445.4,-1298.24
6,3,Earth,-1.48711e+11,1.14954e+10,-3.12069e+06,-3094.66,-29679.6,0.754078
6,4,Mars,-6.57349e+10,2.20484e+11,6.51407e+09,-22994.1,-5089.11,416.49
6,5,Jupiter,4.84299e+11,-6.12079e+11,-1.09628e+10,9482.14,8299.63,-223.751
6,6,Saturn,1.34578e+12,4.53605e+11,-4.51445e+10,-3293.8,8554.76,111.278
6,7,Uranus,2.80545e+12,-1.12025e+12,-5.01323e+10,2482.91,5619.04,-81.7054
6,8,Neptune,4.39913e+12,8.1239e+11,-8.808e+10,-983.736,5160.45,116.558
7,0,Sun,-7.08089e+08,2.92821e+08,3.58899e+06,-7.38196,-15.7628,0.241691
7,1,Mercury,-4.46538e+10,5.60184e+10,4.68169e+09,-30648.9,-23937.2,2312.22
7,2,Venus,5.23525e+10,-9.36017e+10,-5.37076e+09,30096.2,17306.9,-1249.81
7,3,Earth,-1.48955e+11,8.92938e+09,-3.05454e+06,-2575.58,-29714.4,0.777221
7,4,Mars,-6.77189e+10,2.20035e+11,6.54978e+09,-22931.7,-5297.09,410.318
7,5,Jupiter,4.85117e+11,-6.11361e+11,-1.09821e+10,9458.79,8329.07,-223.223
7,6,Saturn,1.34549e+12,4.54344e+11,-4.51349e+10,-3304.55,8551.14,111.638
7,7,Uranus,2.80566e+12,-1.11976e+12,-5.01393e+10,2480.58,5619.97,-81.6637
7,8,Neptune,4.39904e+12,8.12836e+11,-8.80699e+10,-984.863,5160.24,116.581
8,0,Sun,-7.08726e+08,2.91458e+08,3.60986e+06,-7.36978,-15.7779,0.241292
8,1,Mercury,-4.72413e+10,5.38735e+10,4.87502e+09,-29207.3,-25678.8,2160.07
8,2,Venus,5.49319e+10,-9.20694e+10,-5.47663e+09,29601.1,18155.2,-1200.38
